ticker,current_price,estimated_value,price_to_value
PNR,63.84,31.329557307944366,2.03769237377037
ALLE,133.01,80.51963050015401,1.6518953101721645
ITW,224.03,79.62707806912357,2.8134901522509908
AMAT,133.73,83.98480432593676,1.5923118601432589
NWL,26.76,8.312448538642242,3.2192680502742683
MAA,151.02,-0.5666874651794991,-266.4961010778035
EQR,72.62,5.092747274821188,14.259494155352481
EL,312.29,162.62205534348726,1.9203422275065145
ETN,141.15,38.35283259261719,3.6803018306181374
BAC,39.15,47.18980683962638,0.8296283164084671
XLNX,128.64,62.33530917786724,2.063677900962026
BAX,86.56,45.834060254404285,1.8885518655677527
GPN,217.8,-99.50882739192845,-2.1887505431268566
PFG,63.22,78.9277937235002,0.8009852678952647
MAR,148.63,124.96030367523784,1.1894177240980293
LUV,62.39,-0.7506715970586261,-83.1122427496447
IPGP,223.9,79.80553901411639,2.8055696730573487
MSI,188.6,120.08864682504759,1.5705064965447058
PRGO,41.62,26.02527233232938,1.5992147735683202
MNST,98.17,62.38566836303702,1.5735985936501546
ZBRA,513.49,161.61798064592668,3.177183615014693
ALB,152.03,40.962983745220996,3.711399563703335
ECL,223.15,43.78620377462464,5.0963541198637055
CI,252.57,6046.769114432836,0.04176941358603372
SCHW,64.74,75.46748633448053,0.8578528733959008
FTV,72.38,17.93526300054903,4.0356252371534405
CNC,64.96,173.23735765445664,0.3749768576450511
VFC,84.74,36.462518631914904,2.3240303517000824
ADM,59.45,24.51305146955943,2.425238655979883
PG,137.25,79.43623879767108,1.7278008384760521
IDXX,535.0,141.33220816678394,3.785407494437891
AWK,160.12,35.632167167642486,4.493692433768237
TXN,191.93,75.92011561820742,2.5280519983029466
MET,63.07,99.7454453307042,0.6323095735438603
J,133.78,144.08456766226166,0.928482502814487
HII,208.06,379.25218141928303,0.5486059413590527
AJG,136.8,32.680506171531114,4.185981676109113
PKG,140.36,129.39026614355092,1.0847802093882304
APH,68.48,40.90796288362249,1.6740017144049963
TYL,448.2,82.0588483981679,5.461933828576698
BDX,260.94,83.35117758026385,3.130609639542587
FLS,40.02,22.200141003905387,1.8026912528600516
CL,80.7,54.46729448719648,1.4816230686649947
WU,25.89,20.38821733498888,1.269851089706079
CTXS,140.5,79.08080502550048,1.7766637549364124
ADP,192.94,111.65574892531075,1.72798984250298
FRC,179.62,98.2390711609096,1.828396765944513
EQIX,708.14,13.117155195630392,53.98579108341241
NCLH,28.32,-27.293259122500967,-1.0376188447444363
EXR,142.61,20.265606128408795,7.037045874492055
CFG,44.83,83.13767771553945,0.5392260312272437
MAS,64.59,67.101794338715,0.9625674042927077
ABT,124.35,42.18440970112975,2.947771484323265
PHM,54.22,96.44714328630118,0.5621732085837851
FISV,125.09,-75.58618485080643,-1.6549320520265074
TGT,208.55,192.22519575176335,1.0849254135723094
XYL,108.61,40.26027081164552,2.6976967072110187
INCY,82.68,3.159801502833466,26.166200606544106
BKNG,2476.9,462.9093472499652,5.350723666987233
DIS,187.26,49.820640407719154,3.7586831174290993
MCO,322.0,197.18363945365442,1.6329955207854967
HPE,15.95,6.208720756748551,2.5689672035359608
PAYC,398.47,133.91858207436744,2.975464598174452
NWSA,26.7,11.799279244748082,2.2628500814475005
SYY,80.56,23.995223156600883,3.357334894292851
SPGI,378.07,244.57294817710513,1.5458373578022384
PNC,178.86,70.43108993995118,2.5395035083582296
DVA,113.11,116.21499271966285,0.9732823395071513
NLSN,25.69,12.315146825512281,2.086049022718928
MSFT,260.74,134.53073052802296,1.9381445337925038
HAL,20.69,3.01295466267873,6.867013385991387
TSCO,181.08,190.77103376446698,0.9492007063481562
FOX,,,
MRK,77.47,80.2250494233149,0.9656584889243555
DISCK,,,
LYV,80.99,-25.312903849579325,-3.199553890824974
IRM,38.04,4.02328156905742,9.454968375209212
RJF,129.76,169.28682794351732,0.7665097253951413
NI,25.62,-0.10786071419532095,-237.52855885606039
KEYS,145.4,51.962470477226255,2.798173348276905
TRMB,81.97,14.582992885356022,5.620931220662721
GOOG,,,
LMT,391.81,507.4773886311055,0.7720738081688479
XRX,25.07,14.700432801807201,1.7053919662091863
EFX,190.98,65.63593580321515,2.9096865560442717
DAL,46.64,-33.94969649921546,-1.3737972591618837
BR,157.0,64.10284643227077,2.449189212929596
AMT,248.62,25.560514778285636,9.726721161782296
ADSK,300.16,-14.69327729569152,-20.428390069791668
REG,59.46,1.0881675046759893,54.642322753154346
PXD,148.41,-81.82425127054726,-1.8137654508965895
BWA,48.96,45.792304026540315,1.069175291368256
IR,50.24,-32.480190706408806,-1.5467889475811154
DUK,100.67,1.8266632819839765,55.111415986125394
CMCSA,,,
CINF,106.41,132.3869093173369,0.803780377899229
FANG,77.54,-83.00967857776608,-0.9341079417306513
HPQ,33.98,50.05193669393614,0.6788948089618422
FCX,38.14,7.40582663519891,5.149999031671313
WDC,68.89,25.343346268279006,2.718267716928374
ESS,289.49,-6.026101479899581,-48.03935031057991
PBCT,17.86,20.294767176731952,0.8800298049477786
ISRG,812.57,211.60764263987232,3.8399841795075647
DISH,38.01,57.598980306458046,0.6599075156845838
COST,370.72,229.82435832905776,1.6130579138578984
HCA,196.93,227.33440245802655,0.8662569231524904
PEP,144.16,89.46446300312215,1.6113660682786313
IFF,142.86,27.958740209728074,5.109672285959893
OXY,24.38,-111.70332598196404,-0.2182567061963443
LH,262.2,294.76206520031036,0.8895310182530364
EXC,46.16,12.818205601448676,3.6011280701241932
KLAC,333.0,341.8518069677702,0.9741063034117449
BK,46.07,81.35227191339037,0.5663025618884653
