ticker,current_price,estimated_value,price_to_value
PNR,79.5,37.64315903751368,2.111937521523458
ALLE,138.01,87.64038808900916,1.5747305895066843
ITW,233.01,91.88710768733348,2.535829082713854
AMAT,129.9,91.67090040597822,1.4170254620028662
NWL,25.67,9.927892757989248,2.58564436842276
MAA,188.31,-1.0654256371998747,-176.74626311312696
EQR,82.66,3.1681281776597534,26.09111606748804
EL,,,
ETN,167.62,40.96888706586535,4.091397448276266
BAC,41.63,37.76754449977627,1.1022691718876936
XLNX,146.63,31.04757020392287,4.722752828544156
BAX,74.56,46.381136684733534,1.6075500802579858
GPN,171.41,-91.43465115664262,-1.8746722148734012
PFG,66.94,71.2288600402948,0.9397876080303887
MAR,134.38,4.382290632649573,30.664328604502575
LUV,50.41,1.5386870438133091,32.761697840172566
IPGP,169.12,86.54190912898225,1.9541977026176205
MSI,233.03,130.66880983764952,1.7833636067362206
PRGO,40.95,21.95392448708838,1.8652701490379846
MNST,98.12,70.30816297166335,1.3955705262779488
ZBRA,571.07,200.7363363584502,2.844876071566105
ALB,235.22,56.987791662993615,4.127550711054237
ECL,221.58,44.79655822563279,4.946362148715499
CI,210.61,6221.015792728653,0.0338545997980215
SCHW,74.01,66.74857870970415,1.1087876540694066
FTV,75.96,33.85942109350788,2.2433933465733222
CNC,63.07,174.5843052736398,0.3612581320018738
VFC,80.81,7.527157120281977,10.735792904104114
ADM,62.4,29.814698660630484,2.092927408399319
PG,143.64,86.88551609419544,1.653209953247848
IDXX,672.1,156.8535418785413,4.284888896678132
AWK,178.92,31.427503747638635,5.693102495085805
TXN,188.7,88.07243720351242,2.142554537964738
MET,62.49,111.35660948540874,0.5611701028683724
J,,,
HII,205.94,382.57223160598255,0.5383035750804335
AJG,140.3,39.93161852750128,3.5135064686490005
PKG,146.42,138.11656602837368,1.0601190299643022
APH,73.99,42.94978871854056,1.7227092893255607
TYL,477.78,20.828179160918996,22.939115143415112
BDX,,,
FLS,40.19,22.585766108219428,1.7794393073686363
CL,79.44,56.11506750419421,1.4156625579050122
WU,22.49,21.22072343380647,1.0598130676436535
CTXS,102.11,56.735715213961996,1.7997481765220071
ADP,215.17,113.16137119307086,1.9014439090958573
FRC,198.85,128.27267936551826,1.5502131941390946
EQIX,814.09,16.26331652235761,50.056825671495055
NCLH,25.04,-24.207083361626996,-1.0344079716639196
EXR,175.68,29.815119446830654,5.892312466273711
CFG,44.77,77.56281219829945,0.5772096025288466
MAS,62.6,71.76154790588045,0.8723334686440103
ABT,123.06,49.60009133136308,2.4810438186065764
PHM,54.34,106.50321544919461,0.5102193372360846
FISV,111.62,-65.94875684547448,-1.6925262179170186
TGT,261.54,91.5486381389304,2.8568420603165916
XYL,131.53,42.27244892855068,3.1114828531063656
INCY,73.47,4.343793309565078,16.913788194806205
BKNG,2203.42,503.76961001271735,4.373864473373803
DIS,,,
MCO,380.65,215.96031521426968,1.7625923523140345
HPE,14.98,9.383202620689639,1.5964698414344816
PAYC,463.73,148.77702789529957,3.1169462554820333
NWSA,23.52,12.990477381128242,1.8105570188027418
SYY,79.44,30.007371279177658,2.647349521586518
SPGI,441.74,259.2945233093732,1.7036225615646532
PNC,190.38,86.5611034126304,2.1993712244225048
DVA,130.28,115.80755093227025,1.1249698223580769
NLSN,23.01,10.970332663314132,2.097475136460328
MSFT,292.85,164.60774953386095,1.7790778431106535
HAL,20.13,1.814296074050384,11.095212235707555
TSCO,193.92,215.65702881100623,0.8992055629679673
FOX,,,
MRK,76.72,81.22849380206513,0.9444961541075564
DISCK,,,
LYV,81.58,-16.66706908947494,-4.894681816103878
IRM,46.1,3.080544604563503,14.964886381358575
RJF,,,
NI,25.47,-0.27181466079075417,-93.70355493667458
KEYS,166.1,58.37140541650649,2.845571368631628
TRMB,88.9,19.159370176458786,4.64002726505237
GOOG,,,
LMT,357.98,516.1521594794943,0.693555172492157
XRX,23.9,14.207578573320903,1.6822007970365616
EFX,260.1,61.819499101221965,4.207410344333552
DAL,39.9,-32.44272847322646,-1.2298595672348487
BR,174.36,73.61270014138836,2.368613020105304
AMT,282.92,9.19153133002591,30.780507604406164
ADSK,332.78,-19.232784919931472,-17.302746398163627
REG,66.22,3.5055371233154045,18.8901151722426
PXD,151.6,-229.23221315537873,-0.6613381161104182
BWA,45.61,65.9117928078389,0.6919854256274394
IR,52.43,-4.906804825866441,-10.685161089679562
DUK,106.0,-46.14446133349236,-2.2971337607329176
CMCSA,,,
CINF,121.39,173.8905767510244,0.6980826808907854
FANG,75.64,240.9455005010677,0.313929912958324
HPQ,29.01,52.40818579380208,0.5535394816782762
FCX,38.1,14.810404162275182,2.5725158869767846
WDC,63.15,33.35033112768868,1.8935344227383255
ESS,316.95,-5.395104598079247,-58.74770252143764
PBCT,16.36,22.483266284634002,0.7276522811625953
ISRG,1003.04,193.59881413978928,5.181023470917277
DISH,42.74,12.855409243953124,3.3246705094280737
COST,,,
HCA,242.98,248.84705423291004,0.9764230512955209
PEP,156.52,95.65641199319231,1.6362729558697984
IFF,156.75,-118.23686737045354,-1.325728628354802
OXY,25.79,-103.82299852455309,-0.24840353646596833
LH,302.04,139.49900411423735,2.1651767474458525
EXC,48.35,-16.363030497192664,-2.954831625370081
KLAC,,,
BK,53.87,79.86884218559604,0.6744807928330679
NUE,126.17,96.98111254631708,1.3009749701493953
POOL,485.21,81.7511855397341,5.935204447453181
VRSN,209.44,38.40661764153123,5.453226888001739
GM,53.65,20.305548915047115,2.6421349269826186
CMI,237.72,87.9063778817086,2.7042406447446674
