ticker,current_price,estimated_value,price_to_value
PNR,64.31,32.952902278562355,1.9515731711994646
ALLE,138.35,81.12918591007227,1.70530492138001
ITW,228.52,79.62707806912357,2.869878005590307
AMAT,134.86,83.98480432593676,1.605766675083526
NWL,26.54,8.312448538642242,3.1928017210119237
MAA,155.19,-0.5666874651794991,-273.85465452433
EQR,74.58,5.092747274821188,14.644355192869567
EL,313.79,162.62205534348726,1.929566068619774
ETN,142.97,38.35283259261719,3.7277559526990793
BAC,39.18,47.18980683962638,0.8302640469191249
XLNX,129.66,62.33530917786724,2.080041018646893
BAX,87.87,45.834060254404285,1.9171332304463775
GPN,216.92,-99.50882739192845,-2.17990710658897
PFG,62.71,78.9277937235002,0.7945236657657712
MAR,148.36,124.96030367523784,1.18725703792763
LUV,61.53,-0.1786705213720151,-344.37689848056465
IPGP,227.99,79.80553901411639,2.8568192485946624
MSI,189.98,120.08864682504759,1.5819980074950328
PRGO,41.83,26.02527233232938,1.6072838533965121
MNST,98.68,62.38566836303702,1.5817735481450268
ZBRA,497.41,161.61798064592668,3.0776897348428567
ALB,161.23,40.962983745220996,3.935992578148317
ECL,226.78,43.78620377462464,5.17925694511625
CI,251.8,6046.769114432836,0.041642072854904746
SCHW,67.14,75.46748633448053,0.8896546481279083
FTV,73.96,17.93526300054903,4.123719847193541
CNC,65.37,173.23735765445664,0.3773435527133158
VFC,88.38,36.462518631914904,2.4238588917070247
ADM,59.41,24.51305146955943,2.4236068721911663
PG,133.94,80.34522387168765,1.667056155247061
IDXX,559.1,141.33220816678394,3.9559277198882707
AWK,159.36,35.632167167642486,4.472363391489546
TXN,188.82,75.92011561820742,2.487087887873508
MET,62.79,99.7454453307042,0.6295024278233547
J,137.14,144.08456766226166,0.951802141097165
HII,206.13,379.25218141928303,0.5435169791999497
AJG,137.94,32.680506171531114,4.220864856743355
PKG,142.33,129.39026614355092,1.1000054659605787
APH,68.8,40.90796288362249,1.6818241523227766
TYL,451.5,82.0588483981679,5.502148870152563
BDX,255.85,83.35117758026385,3.0695427158617727
FLS,40.32,22.200141003905387,1.8162046805426604
CL,79.79,54.46729448719648,1.4649157949043363
WU,26.33,20.38821733498888,1.2914321819992685
CTXS,140.48,79.08080502550048,1.7764108490638235
ADP,195.86,111.65574892531075,1.7541416531182423
FRC,179.12,98.2390711609096,1.8233071412759225
EQIX,718.11,13.117155195630392,54.74586442639773
NCLH,29.81,-27.293259122500967,-1.092211079160722
EXR,147.54,20.265606128408795,7.280315183525403
CFG,44.93,82.88880545289089,0.5420514839671029
MAS,64.75,67.101794338715,0.9649518412750089
ABT,123.31,45.76425912177157,2.6944607509517695
PHM,53.91,96.44714328630118,0.5589590128135715
FISV,126.02,-75.58618485080643,-1.6672358877318767
TGT,206.01,192.22519575176335,1.0717117451452
XYL,110.48,40.26027081164552,2.744144482208575
INCY,85.58,3.159801502833466,27.08397977634306
BKNG,2395.43,462.9093472499652,5.174728084949423
DIS,183.02,49.820640407719154,3.6735778284303846
MCO,327.73,197.18363945365442,1.6620547267920212
HPE,16.42,6.208720756748551,2.6446671775586506
PAYC,399.59,133.91858207436744,2.9838278886353526
NWSA,26.73,11.799279244748082,2.2653926096289023
SYY,82.64,23.995223156600883,3.444018814105775
SPGI,388.14,244.57294817710513,1.5870111673958813
PNC,178.04,60.19190371075094,2.9578728869510744
DVA,113.6,116.21499271966285,0.9774986629653645
NLSN,25.6,12.315146825512281,2.078740949069854
MSFT,261.15,134.53073052802296,1.9411921646080859
HAL,19.06,1.5355765421857845,12.412276090691929
TSCO,189.38,204.30664989294024,0.9269399703790256
FOX,,,
MRK,77.88,80.2250494233149,0.9707691121392642
DISCK,,,
LYV,81.78,-25.312903849579325,-3.2307632694365527
IRM,40.32,4.02328156905742,10.021669949748565
RJF,129.55,169.28682794351732,0.7652692272267306
NI,25.72,-0.10786071419532095,-238.4556804753268
KEYS,147.86,51.962470477226255,2.8455152082271193
TRMB,82.54,14.582992885356022,5.6600178474259
GOOG,,,
LMT,377.29,510.276815263452,0.7393829951008221
XRX,24.38,13.411128697307465,1.8178932251164468
EFX,229.72,60.06356751209694,3.824614646037032
DAL,45.8,-33.94969649921546,-1.3490547699316953
BR,162.63,64.10284643227077,2.5370168261066253
AMT,254.04,25.560514778285636,9.93876696942794
ADSK,295.27,-14.69327729569152,-20.095584807793795
REG,62.12,1.0881675046759893,57.086799351260474
PXD,146.45,-81.82425127054726,-1.7898116722849235
BWA,50.97,45.792304026540315,1.1130691299232027
IR,51.62,-32.480190706408806,-1.589276382845087
DUK,99.85,1.8266632819839765,54.66251004484573
CMCSA,,,
CINF,109.36,132.3869093173369,0.8260635478532062
FANG,76.13,-83.00967857776608,-0.9171219706468206
HPQ,34.42,50.05193669393614,0.6876856775887761
FCX,36.54,7.40582663519891,4.933952926514676
WDC,68.07,25.343346268279006,2.685912084356429
ESS,297.34,-6.026101479899581,-49.34201672371353
PBCT,17.9,19.54409180378441,0.9158778100159118
ISRG,875.53,303.79844609847316,2.881943641397711
DISH,42.48,57.598980306458046,0.7375130562031339
COST,373.28,229.82435832905776,1.6241968549980477
HCA,202.5,231.21798076243402,0.875796939893094
PEP,145.83,89.46446300312215,1.6300326979541677
IFF,144.54,27.958740209728074,5.169760830271894
OXY,24.65,-111.70332598196404,-0.22067382312304704
LH,263.95,294.76206520031036,0.8954680101750151
EXC,44.91,12.818205601448676,3.5036105205649375
KLAC,332.07,341.8518069677702,0.9713858263481625
BK,47.6,77.84692519436102,0.6114563919018858
NUE,77.83,68.71496305991471,1.1326499576538753
POOL,419.53,203.886252815457,2.0576669304905417
VRSN,211.47,86.15378211094102,2.454564324613029
GM,57.53,40.59507608097436,1.4171669461893805
CMI,262.47,156.6896122469941,1.675095089177076
RE,266.82,86.04654462454916,3.1008798919727454
AOS,68.36,44.245003331552944,1.5450332207625725
ILMN,414.97,84.0556445956395,4.936848702978445
CAG,37.61,43.43772375434374,0.865837266535842
MGM,41.51,-25.236991750300138,-1.6448077651531636
ATO,103.35,31.44848241485204,3.2863270995611327
AME,135.01,50.132720596919896,2.6930515318631016
HOLX,73.36,46.69072164527009,1.5711901083334743
CTSH,78.69,76.92111810056197,1.022996050280048
NEE,78.24,0.903053814901025,86.63935494096232
CHRW,99.78,76.83199574657876,1.2986777062138608
CPRT,124.68,72.30589916758879,1.7243406338260152
BEN,29.42,34.40063570733998,0.8552167538497764
ROP,434.22,75.36950792936918,5.761215801049404
CAH,61.41,103.69899187345267,0.5921947638115967
TSN,78.7,120.17081679936102,0.6549010990863006
DPZ,397.71,339.27857571447254,1.1722225582988233
BBY,117.74,151.84981933047519,0.7753713538753642
GD,186.48,,
LB,67.38,66.61959916726889,1.0114140709676425
HLT,127.4,29.616172023394213,4.301703808965082
UPS,178.96,112.76080861138637,1.5870762386669244
ABC,121.65,192.41653236211795,0.6322221822970024
OTIS,71.28,48.55711636733233,1.4679619658789067
DRE,45.37,-7.451299672903732,-6.08887066574247
KMB,132.11,106.05260745863707,1.2457025165696745
PPG,174.65,85.44122739697983,2.0440951671789014
CMS,64.13,2.01417195951987,31.839386749921314
EMN,113.6,98.77998138292544,1.1500305872667056
WAB,85.41,14.293970029281931,5.975246892573108
PEG,62.94,65.79473454326339,0.956611504505938
LKQ,44.99,37.77716495924059,1.190931083593532
