endDate,totalLiab,totalStockholderEquity,totalAssets,commonStock,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,shortTermInvestments,netReceivables,inventory,accountsPayable,capitalSurplus,otherCurrentLiab,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,deferredLongTermAssetCharges,otherStockholderEquity,stockId,ticker,intangibleAssets,minorityInterest,goodWill,longTermDebt,longTermInvestments,shortLongTermDebt,deferredLongTermLiab
2020-12-31,3363700000.0,1390300000.0,4754000000.0,1390300000.0,348900000.0,1006000000.0,946400000.0,1612100000.0,-805200000.0,,563600000.0,645500000.0,552200000.0,,360500000.0,54100000.0,,386300000.0,,,,,53820,LEG,806700000.0,,1388800000.0,1849300000.0,,50900000.0,
2019-12-31,3503900000.0,1312000000.0,4816400000.0,2000000.0,247600000.0,928100000.0,993900000.0,1538100000.0,-858300000.0,,591900000.0,636700000.0,463400000.0,536100000.0,86200000.0,3700000.0,2734500000.0,387700000.0,-1960600000.0,109800000.0,11500000.0,-76800000.0,53820,LEG,764000000.0,500000.0,1406300000.0,2063400000.0,4300000.0,50000000.0,
2018-12-31,2224400000.0,1157000000.0,3382000000.0,2000000.0,268100000.0,815700000.0,728500000.0,1524600000.0,144500000.0,,571600000.0,633900000.0,465400000.0,527100000.0,82100000.0,1000000.0,2613800000.0,240900000.0,-1985900000.0,109300000.0,20200000.0,-77600000.0,53820,LEG,178700000.0,600000.0,833800000.0,1164300000.0,7100000.0,1200000.0,
2017-12-31,2360000000.0,1190200000.0,3550800000.0,2000000.0,526100000.0,976200000.0,663900000.0,1766500000.0,200700000.0,,595100000.0,571100000.0,430300000.0,514700000.0,173000000.0,74200000.0,2511300000.0,285900000.0,-1837800000.0,123800000.0,21400000.0,-9500000.0,53820,LEG,167300000.0,600000.0,822200000.0,1097900000.0,7100000.0,153800000.0,1800000.0
2020-12-31,2531874000.0,282675000.0,2814549000.0,448000.0,94254000.0,840327000.0,897492000.0,1056904000.0,-464380000.0,,593809000.0,297611000.0,175801000.0,805140000.0,261799000.0,71230000.0,5095596000.0,335041000.0,-5618509000.0,113098000.0,41836000.0,-334925000.0,53826,MTD,196785000.0,,550270000.0,1286676000.0,,50317000.0,
2019-12-31,2368541000.0,420780000.0,2789321000.0,448000.0,207785000.0,754512000.0,835974000.0,1109647000.0,-321441000.0,,566256000.0,274285000.0,185592000.0,783871000.0,200625000.0,61321000.0,4499288000.0,316194000.0,-4862827000.0,101479000.0,36978000.0,-323673000.0,53826,MTD,206242000.0,,535979000.0,1236898000.0,,56239000.0,
2018-12-31,2028784000.0,590063000.0,2618847000.0,448000.0,178110000.0,734434000.0,717526000.0,1045860000.0,-162025000.0,,535528000.0,268821000.0,196641000.0,764717000.0,188189000.0,63401000.0,3941916000.0,309302000.0,-4117018000.0,102828000.0,35066000.0,-302414000.0,53826,MTD,217308000.0,,534780000.0,985048000.0,545000.0,49670000.0,
2017-12-31,2002525000.0,547280000.0,2549805000.0,448000.0,148687000.0,689673000.0,668271000.0,1006723000.0,-219276000.0,,528615000.0,255390000.0,167627000.0,747138000.0,189996000.0,74031000.0,3433282000.0,352682000.0,-3633588000.0,108255000.0,41425000.0,-265406000.0,53826,MTD,226718000.0,,539838000.0,960170000.0,,19677000.0,
2020-09-30,8705200000.0,10114500000.0,20220900000.0,49500000.0,3026800000.0,3183500000.0,1348600000.0,7867300000.0,699500000.0,,1114800000.0,,283700000.0,,1433000000.0,3725700000.0,10472600000.0,2018400000.0,-407600000.0,319500000.0,44100000.0,-407600000.0,53843,BEN,4914200000.0,1401200000.0,4500800000.0,3017100000.0,1270500000.0,,
2019-09-30,3161300000.0,9906500000.0,14532200000.0,49900000.0,5803400000.0,2022900000.0,683700000.0,9100500000.0,6912000000.0,,740000000.0,,222900000.0,,1043600000.0,2557100000.0,10288200000.0,441500000.0,-431600000.0,197700000.0,20800000.0,-431600000.0,53843,BEN,864200000.0,1464400000.0,2130300000.0,696900000.0,1555800000.0,,
