ticker,dow,sp500,exchange
FWP,False,False,nasdaq
SMCP,False,False,nasdaq
FXP,False,False,
CNBKA,False,False,nasdaq
LESL,False,False,nasdaq
EEFT,False,False,nasdaq
EDV,False,False,
MAN,False,False,
EDC,False,False,
EGBN,False,False,nasdaq
INDO,False,False,
GSBC,False,False,nasdaq
NRC,False,False,nasdaq
FLACU,False,False,nasdaq
SAND,False,False,
RKT,False,False,
STRA,False,False,nasdaq
DBEH,False,False,
NBO,False,False,
FITBP,False,False,nasdaq
DDG,False,False,
USML,False,False,
PRSR,False,False,nasdaq
EWV,False,False,
CVX,True,True,
KTB,False,False,
NEE$O,False,False,
OESX,False,False,nasdaq
OEUR,False,False,
LTHM,False,False,
PEP,False,True,nasdaq
CMRE$D,False,False,
APO$B,False,False,
HIG$G,False,False,
WUGI,False,False,
GPK,False,False,
BLRX,False,False,nasdaq
YUM,False,True,
DGICB,False,False,nasdaq
CRVS,False,False,nasdaq
HSRT,False,False,
CETX,False,False,nasdaq
XJH,False,False,
GVA,False,False,
ACTCU,False,False,nasdaq
VERY,False,False,nasdaq
ATXI,False,False,nasdaq
ALEX,False,False,
LPTX,False,False,nasdaq
RGNX,False,False,nasdaq
TJX,False,True,
DFH,False,False,nasdaq
GBR,False,False,
MACQU,False,False,nasdaq
LSXMB,False,False,nasdaq
FOXA,False,True,nasdaq
EDOC,False,False,nasdaq
WTREP,False,False,nasdaq
AIC,False,False,
PRTG,False,False,nasdaq
SAA,False,False,
ONB,False,False,nasdaq
CRH,False,False,
ARWR,False,False,nasdaq
KFYP,False,False,
CHS,False,False,
AGG,False,False,
ZXYZ.A,False,False,nasdaq
HNGR,False,False,
PVBC,False,False,nasdaq
AXS,False,False,
BIOL,False,False,nasdaq
TRIB,False,False,nasdaq
SBBP,False,False,nasdaq
SVOKU,False,False,nasdaq
CCV,False,False,
BNL,False,False,
ALOT,False,False,nasdaq
EQAL,False,False,
OPINI,False,False,nasdaq
PDCE,False,False,nasdaq
UBCP,False,False,nasdaq
EQL,False,False,
CMO,False,False,
GAU,False,False,
ISRA,False,False,
FPH,False,False,
MDH.U,False,False,
SPXV,False,False,
CUB,False,False,
ARBGU,False,False,nasdaq
OMFS,False,False,
EFV,False,False,
CPF,False,False,
HLF,False,False,
ATVI,False,True,nasdaq
BSCN,False,False,nasdaq
SNDL,False,False,nasdaq
LOUP,False,False,
CLGN,False,False,nasdaq
SRC,False,False,
RETA,False,False,nasdaq
FNV,False,False,
PS,False,False,nasdaq
PODD,False,False,nasdaq
INFU,False,False,
AGR,False,False,
LANDM,False,False,nasdaq
WPS,False,False,
EPAY,False,False,nasdaq
TYME,False,False,nasdaq
CHKEZ,False,False,nasdaq
SBNY,False,False,nasdaq
CMG,False,True,
FDNI,False,False,nasdaq
EACPW,False,False,nasdaq
GPRK,False,False,
CRTDW,False,False,nasdaq
OVLY,False,False,nasdaq
CORT,False,False,nasdaq
ULBI,False,False,nasdaq
AMH$D,False,False,
MPLN.W,False,False,
NSPR.W,False,False,
RTP.U,False,False,
DAKT,False,False,nasdaq
ADPT,False,False,nasdaq
CPE,False,False,
MVV,False,False,
DSL,False,False,
EPR$C,False,False,
SOLO,False,False,nasdaq
