Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jan 28, 2021) 4","Short Ratio (Jan 28, 2021) 4","Short % of Float (Jan 28, 2021) 4","Short % of Shares Outstanding (Jan 28, 2021) 4","Shares Short (prior month Dec 30, 2020) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),ticker,stockId,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,"Shares Short (Aug 30, 2018) 4","Short Ratio (Aug 30, 2018) 4","Short % of Float (Aug 30, 2018) 4","Short % of Shares Outstanding (Aug 30, 2018) 4","Shares Short (prior month Jul 30, 2018) 4"
1.07,,,103.19,49.11,93.34,88.78,1.74M,1.4M,346.94M,340.38M,2.01%,64.98%,4.21M,2.03,1.24%,1.22%,4.32M,1.28,1.34%,1.28,1.35%,1.61,34.22%,"Mar 01, 2021","Feb 07, 2021",3:2,"Oct 09, 2007","Dec 30, 2020","Dec 30, 2020",6.93%,8.64%,3.57%,12.92%,18.73B,54.00,-9.00%,2.3B,2.02B,1.3B,3.74,-23.60%,4.83B,13.93,11.02B,106.09,2.56,29.98,2.99B,-69.86M,PCAR,5402,,,,,,,,,,
,,,145.35,69.69,92.22,88.94,1.2M,923.84k,155.72M,155.39M,0.14%,97.42%,4.21M,3.54,3.11%,2.70%,4.88M,3.92,4.25%,3.92,4.28%,2.81,70.76%,"Jan 27, 2021","Dec 29, 2020",,,"Dec 30, 2020","Dec 30, 2020",31.55%,32.73%,2.56%,12.46%,2.77B,17.79,-17.80%,1.73B,1.59B,862.23M,5.54,-93.10%,1.67B,10.72,13.49B,161.71,4.97,37.22,,,BXP,5412,,,,,,,,,,
0.73,,,38.51,26.08,29.0,28.91,42.29M,35.89M,7.13B,7.12B,0.08%,53.53%,113.56M,2.42,1.59%,1.59%,129.77M,2.08,7.12%,2.08,7.12%,5.78,,"Jan 31, 2021","Jan 07, 2021",2:1,"Mar 19, 1998","Dec 30, 2020","Dec 30, 2020",-3.01%,14.72%,2.93%,-2.01%,171.76B,24.00,-2.40%,91.84B,53.8B,-5.37B,-0.75,,9.74B,1.37,179.45B,100.11,0.82,22.69,43.13B,38.95B,T,5430,,,,,,,,,,
1.0,,,115.36,68.0,106.95,96.96,743.96k,798.9k,142.32M,134.37M,0.69%,76.92%,1.88M,2.87,1.59%,1.32%,1.48M,1.36,1.29%,1.36,1.29%,2.00,31.92%,"Dec 30, 2020","Dec 13, 2020",405:1000,"Sep 29, 2013","Jan 02, 2020","Oct 01, 2020",5.10%,8.28%,5.73%,17.60%,12B,84.80,14.40%,1.55B,1.27B,612M,4.26,1.20%,512M,3.6,5.19B,139.68,0.94,26.10,1.56B,957.12M,LDOS,5432,,,,,,,,,,
0.75,,,74.96,20.0,55.35,47.26,17.57M,33.3M,798.15M,776.64M,2.27%,76.36%,17.69M,0.93,2.54%,2.22%,21.08M,,,,,,0.00%,,,,,"Dec 30, 2020","Dec 30, 2020",-30.56%,4.75%,0.85%,-13.62%,3.72B,4.72,28.00%,2.35B,562.24M,-1.14B,-1.44,87.00%,7.47B,9.39,4.48B,56.26,4.42,10.04,992.87M,224.77M,TWTR,5434,,,,,,,,,,
1.02,,,123.8,56.3,117.47,103.91,1.83M,1.38M,356.46M,349M,2.03%,87.29%,4.7M,2.7,1.34%,1.32%,4.38M,,,0.28,0.24%,0.88,63.53%,"Mar 30, 2020","Mar 15, 2020",2:1,"Jun 11, 2015","Jan 31, 2020","Oct 30, 2020",2.39%,2.95%,2.13%,9.64%,12.7B,35.99,-2.50%,5.32B,739.03M,303.54M,0.86,-64.60%,4.42B,12.39,5.77B,191.26,1.65,8.47,2.54B,1.58B,ROST,5513,,,,,,,,,,
0.77,,,232.34,143.34,212.19,206.67,1.03M,858.44k,128.97M,128.38M,0.23%,92.34%,8.61M,8.09,8.81%,6.68%,6.62M,2.84,1.27%,2.75,1.23%,1.52,35.95%,"Jan 14, 2021","Dec 29, 2020",3775:10000,"Jan 04, 2016","Dec 30, 2020","Dec 30, 2020",10.65%,14.46%,2.29%,9.58%,9.35B,71.94,2.80%,3.85B,2.09B,996M,7.65,-12.50%,2.09B,16.2,6.7B,61.33,1.05,83.90,1.77B,1.79B,WLTW,5544,,,,,,,,,,
1.62,,,78.89,32.38,68.38,60.04,1.13M,973.11k,113.98M,107.98M,2.97%,96.28%,6.09M,4.85,6.31%,5.35%,6.94M,1.52,1.94%,1.36,1.77%,2.03,50.37%,"Mar 14, 2021","Feb 23, 2021",2:1,"Jun 12, 2000","Dec 30, 2020","Dec 30, 2020",5.99%,6.76%,8.87%,26.08%,5.11B,45.32,-15.20%,2.01B,408.85M,306.28M,2.70,-16.30%,574.43M,5.16,302.71M,25.11,1.76,10.82,596.53M,505.63M,RHI,5567,,,,,,,,,,
0.98,,,70.96,32.72,67.49,60.69,6.7M,6.08M,1.2B,1.2B,0.09%,92.48%,9.83M,1.7,0.82%,0.82%,13.74M,1.04,1.54%,0.23,0.34%,1.36,75.41%,"Mar 03, 2021","Feb 09, 2021",2:1,"Nov 06, 2018","Jan 31, 2020","Oct 30, 2020",2.24%,3.13%,2.34%,13.50%,33.4B,27.85,-3.20%,14.85B,1.92B,749.74M,0.62,4.60%,10.58B,8.81,15.64B,281.00,1.41,4.64,6.47B,5.25B,TJX,5665,,,,,,,,,,
1.45,,,195.0,70.0,174.89,171.56,1.18M,1.19M,160.22M,160.58M,0.22%,90.37%,2.65M,2,1.67%,1.66%,3.05M,2.8,1.60%,2.78,1.62%,1.82,35.78%,"Dec 14, 2020","Nov 29, 2020",2:1,"Jun 03, 1996","Jan 01, 2021","Jan 01, 2021",8.49%,13.11%,5.39%,12.22%,14.53B,94.27,18.70%,5.04B,2.48B,1.21B,7.77,134.70%,1.38B,8.58,4.87B,44.03,1.32,59.47,2.02B,1.31B,SWK,5673,,,,,,,,,,
