Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jan 28, 2021) 4","Short Ratio (Jan 28, 2021) 4","Short % of Float (Jan 28, 2021) 4","Short % of Shares Outstanding (Jan 28, 2021) 4","Shares Short (prior month Dec 30, 2020) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),ticker,stockId,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,"Shares Short (Aug 30, 2018) 4","Short Ratio (Aug 30, 2018) 4","Short % of Float (Aug 30, 2018) 4","Short % of Shares Outstanding (Aug 30, 2018) 4","Shares Short (prior month Jul 30, 2018) 4"
0.77,,,98.37,52.55,93.75,90.9,1.1M,1.19M,169.27M,168.15M,0.63%,95.55%,3.8M,3.37,2.59%,2.25%,3.51M,1.04,1.11%,1.04,1.10%,1.34,25.55%,"Dec 14, 2020","Nov 29, 2020",2:1,"Jun 25, 2006","Dec 30, 2020","Dec 30, 2020",6.88%,9.30%,13.64%,28.73%,10.12B,60.10,55.00%,1.22B,997.4M,696.14M,4.07,44.60%,1.53B,9.02,438.19M,16.45,2.09,15.71,655.01M,479.45M,EXPD,5952,,,,,,,,,,
0.71,,,119.02,63.51,113.92,105.44,2.42M,2.46M,561.71M,555.75M,1.41%,93.99%,4.73M,2.09,0.85%,0.84%,5.07M,1.32,1.16%,1.20,1.05%,1.18,31.83%,"Mar 30, 2021","Mar 15, 2021",5:1,"Nov 03, 2016","Dec 30, 2020","Dec 30, 2020",34.61%,52.07%,1.78%,11.40%,6.04B,10.94,28.70%,6.04B,3.7B,2.09B,3.77,17.40%,583M,1.04,16.93B,86.24,0.99,34.73,2.88B,2.05B,ICE,5954,,,,,,,,,,
0.14,,,165.49,105.0,140.36,144.61,1.84M,1.5M,280.29M,279.29M,0.30%,96.57%,6.46M,3.63,2.64%,2.31%,6.4M,4.48,3.28%,4.48,3.25%,3.39,448.00%,"Jan 14, 2021","Dec 13, 2020",,,"Dec 30, 2020","Dec 30, 2020",9.27%,13.33%,1.08%,2.49%,3.85B,14.79,36.90%,2.24B,1.79B,263.35M,1.00,-82.80%,108.5M,0.39,14.77B,79.91,0.46,59.82,,,DLR,5960,,,,,,,,,,
0.29,,,103.31,60.05,77.24,78.91,814.95k,607.47k,112.6M,112.29M,0.24%,85.97%,3.01M,3.44,3.54%,2.68%,3.81M,3.32,4.35%,3.13,4.06%,3.38,55.79%,"Feb 28, 2021","Jan 28, 2021",10:1,"Apr 27, 2011","Dec 30, 2019","Sep 29, 2020",18.03%,23.24%,2.68%,11.22%,3.52B,31.23,5.40%,1.49B,1.5B,633.93M,5.61,10.90%,181.93M,1.62,6.82B,114.32,1.17,51.88,893.98M,-345.36M,PNW,5980,,,,,,,,,,
1.49,,,127.68,31.04,115.36,98.2,1.18M,934.36k,170.23M,169.45M,0.59%,100.28%,2.09M,2.18,1.61%,1.23%,1.9M,,,,,,0.00%,,,,,"Jun 29, 2020","Dec 30, 2020",9.98%,14.88%,4.48%,11.27%,3.46B,21.70,26.30%,983.3M,787M,291.5M,1.80,94.30%,833.1M,4.89,3.06B,80.21,2.46,20.31,518.1M,-256.1M,CTLT,5992,,,,,,,,,,
1.12,,,213.8,79.78,197.29,156.01,705.91k,739.3k,61.65M,61.36M,0.36%,99.53%,2.81M,3.34,5.15%,4.56%,3.29M,,,,,,0.00%,,,2:1,"Aug 20, 2007","Sep 29, 2020","Dec 30, 2020",12.33%,16.86%,5.78%,13.70%,2.41B,39.38,9.70%,1.94B,510.22M,296.59M,4.81,-11.00%,1.37B,22.28,758.73M,31.59,1.54,38.97,654.25M,592.12M,FFIV,6020,,,,,,,,,,
1.91,,,35.62,13.1,33.43,30.48,4.31M,3.74M,746.42M,745.05M,0.19%,82.18%,9.21M,2.15,1.45%,1.23%,10.74M,0.68,1.94%,0.51,1.51%,4.23,47.66%,"Mar 18, 2021","Mar 03, 2021",2:1,"Jul 19, 2010","Dec 30, 2020","Dec 30, 2020",10.58%,19.70%,5.67%,9.43%,7.53B,10.08,33.30%,2.08B,1.96B,797M,1.07,,495M,0.66,5.47B,62.71,1.69,11.68,1.53B,1.09B,WY,6068,,,,,,,,,,
1.01,,,26.65,11.63,24.84,20.98,3.69M,4.03M,390.04M,387M,0.70%,100.64%,12.95M,3.72,5.13%,3.32%,15.34M,1.08,4.23%,1.02,4.11%,3.66,114.61%,"Mar 14, 2021","Feb 25, 2021",2:1,"Jul 15, 1999","Dec 30, 2020","Dec 30, 2020",4.35%,12.43%,,12.00%,8.06B,20.71,-6.10%,1.35B,1.29B,351.1M,0.89,-65.90%,1.63B,4.17,5.7B,195.62,,6.99,1.85B,,IPG,6158,,,,,,,,,,
1.25,,,51.89,26.72,48.16,47.2,3.1M,2.17M,574.32M,572.16M,0.32%,80.81%,12.33M,3.69,2.45%,2.15%,15.26M,1.12,2.37%,1.00,2.11%,2.55,67.11%,"Mar 02, 2021","Feb 01, 2021",2:1,"May 22, 2019","Dec 30, 2020","Dec 30, 2020",15.21%,20.19%,18.36%,31.83%,5.65B,9.84,6.40%,2.57B,1.3B,859.1M,1.49,9.70%,245.7M,0.43,650.1M,23.78,4.08,4.76,1.1B,769.89M,FAST,6163,,,,,,,,,,
1.25,,,148.05,90.56,123.71,122.32,6.32M,5.24M,891.06M,890.94M,0.13%,58.58%,26.83M,3.16,3.01%,3.01%,24.59M,6.52,5.40%,6.51,5.39%,4.31,106.20%,"Mar 09, 2021","Feb 08, 2021",2:1,"May 26, 1999","Dec 30, 2020","Dec 30, 2020",7.59%,9.26%,2.76%,26.38%,73.62B,82.69,-6.50%,35.58B,13.51B,5.5B,6.23,-63.10%,13.81B,15.47,66.47B,320.70,0.98,23.08,18.2B,16.05B,IBM,6176,,,,,,,,,,
0.95,,,187.27,114.04,174.07,168.91,2.72M,1.95M,577.75M,578.43M,0.19%,66.53%,7.79M,2.3,1.35%,1.35%,7.63M,5.92,3.35%,5.88,3.28%,2.83,63.57%,"Mar 11, 2021","Feb 10, 2021",2:1,"Sep 29, 2003","Dec 30, 2020","Dec 30, 2020",16.73%,21.97%,9.61%,46.74%,32.18B,55.72,5.80%,15.69B,8.98B,5.38B,9.25,43.30%,5.05B,8.71,19.78B,152.93,1.88,22.27,8.11B,6.05B,MMM,6177,,,,,,,,,,
1.91,,,74.05,32.0,63.05,53.24,20.42M,15.93M,2.08B,2.08B,0.22%,76.17%,22.22M,1,1.07%,1.07%,24.1M,2.04,3.10%,2.04,3.21%,2.07,41.80%,"Feb 25, 2021","Jan 28, 2021",1:10,"May 08, 2011","Dec 30, 2020","Dec 30, 2020",19.48%,24.02%,0.54%,5.80%,58.37B,27.98,3.90%,58.37B,,10.22B,4.87,-7.00%,979.41B,470.44,500.72B,,,86.59,,,C,6245,,,,,,,,,,
0.65,,,158.23,88.0,123.35,125.82,1.64M,1.09M,288.47M,288.12M,0.07%,87.85%,2.55M,1.27,1.00%,0.88%,4.31M,4.18,3.36%,4.11,3.30%,2.92,63.21%,"Jan 14, 2021","Dec 16, 2020",2:1,"May 27, 1992","Dec 30, 2019","Sep 29, 2020",35.48%,24.39%,2.58%,9.92%,11.14B,38.42,-4.10%,4.2B,4.35B,1.88B,13.01,-53.00%,3.52B,12.21,25.91B,104.25,0.84,69.73,2.6B,-1.3B,SRE,6247,,,,,,,,,,
1.09,,,39.22,19.99,33.9,32.99,6.69M,12.74M,1.22B,1B,0.73%,78.75%,23.73M,3.75,3.67%,1.94%,18.07M,1.6,4.27%,1.60,4.11%,4.33,551.72%,"Mar 25, 2021","Mar 10, 2021",,,"Dec 25, 2020","Dec 25, 2020",1.36%,22.48%,3.66%,0.71%,26.19B,21.41,6.20%,9.17B,6.86B,356M,0.29,467.00%,3.42B,2.79,29.15B,58.02,1.34,40.97,4.93B,2.76B,KHC,6269,,,,,,,,,,
1.16,,,77.07,39.02,65.43,55.59,3.46M,2.15M,236.68M,207.65M,0.56%,87.80%,18.89M,3.71,10.76%,7.98%,16.98M,2.68,3.66%,2.62,3.62%,5.84,68.41%,"Apr 06, 2021","Mar 22, 2021",,,"Jul 02, 2020","Dec 31, 2020",9.72%,12.91%,9.16%,70.14%,10.17B,39.66,-2.70%,2.85B,1.7B,989M,3.83,-11.90%,1.8B,7.62,5.24B,529.09,1.56,4.13,1.55B,686.63M,STX,6272,,,,,,,,,,
,,,42.37,24.1,37.09,37.32,12.27M,8.22M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.63B,,,,,,,,,,,,,BSX,6318,,,,,,,,,,
1.01,,,423.74,187.68,383.18,349.67,1.32M,1.19M,274.05M,255.3M,2.93%,88.31%,1.9M,1.43,0.71%,0.69%,2.01M,2.36,0.57%,2.18,0.52%,0.85,29.26%,"Jan 18, 2021","Jan 07, 2021",2:1,"Jul 06, 2006","Jul 30, 2020","Oct 30, 2020",25.10%,30.31%,18.68%,44.31%,7.84B,29.97,13.60%,6.32B,2.56B,1.97B,7.45,247.40%,5.79B,22.05,2.63B,50.22,3.09,19.97,2.59B,2.15B,INTU,6332,,,,,,,,,,
0.91,,,49.34,32.4,45.83,42.48,19.82M,21.74M,4.22B,4.22B,0.06%,74.11%,47.76M,2.39,1.13%,1.13%,40.85M,1.48,3.24%,1.44,3.11%,3.03,60.25%,"Apr 27, 2021","Apr 04, 2021",2:1,"Mar 22, 2000","Jul 24, 2020","Jan 22, 2021",21.09%,28.25%,9.12%,27.14%,48.03B,11.36,-0.40%,31.68B,15.24B,10.13B,2.39,-11.60%,30.59B,7.25,15.62B,39.93,1.61,9.27,15.11B,12.14B,CSCO,6402,,,,,,,,,,
1.47,,,63.44,33.3,54.94,52.34,5.98M,6.23M,763.83M,762.92M,56.70%,39.54%,13.73M,1.96,59.73%,1.80%,10.55M,,,0.79,1.36%,4.96,,"Mar 25, 2020","Mar 16, 2020",,,"Dec 30, 2020","Dec 30, 2020",-46.65%,-44.52%,-4.57%,-42.67%,3.61B,4.73,-67.30%,1.84B,-448M,-1.68B,-2.21,,2.12B,2.78,14.33B,405.03,1.14,3.89,-1.31B,-1.75B,LVS,6413,,,,,,,,,,
1.31,,,87.27,28.33,77.35,64.45,12.98M,7.9M,536.44M,537.11M,0.09%,78.24%,67.1M,3.66,9.15%,9.14%,23.67M,1.2,1.74%,1.20,1.74%,2.98,,"Dec 14, 2020","Nov 26, 2020",4725:10000,"Jun 02, 2019","Dec 30, 2020","Dec 30, 2020",-14.47%,8.30%,1.51%,-7.13%,20.4B,27.73,0.90%,6.88B,4.79B,-2.9B,-4.02,26.10%,2.54B,4.73,22.45B,57.47,2.32,52.44,4.1B,2.79B,DD,6448,,,,,,,,,,
,,,61.31,21.95,57.14,51.41,3.94M,3.18M,743.92M,742.85M,0.09%,68.00%,8.57M,1.94,1.15%,1.15%,9.48M,2.8,4.64%,2.80,4.86%,,170.73%,"Mar 11, 2021","Feb 24, 2021",,,"Dec 30, 2020","Dec 30, 2020",3.18%,6.87%,2.71%,9.55%,38.54B,52.05,4.90%,5.18B,5.43B,1.22B,1.64,,5.15B,6.92,19.23B,147.84,1.72,16.73,6.23B,4.31B,DOW,6459,,,,,,,,,,
1.29,,,71.68,34.66,66.7,53.38,2.11M,1.66M,223.38M,222.65M,0.30%,103.46%,10.49M,5.38,7.95%,4.70%,10.81M,1.92,2.69%,1.92,2.82%,2.48,63.16%,"Jan 26, 2021","Jan 06, 2021",2:1,"Mar 22, 2000","Apr 23, 2020","Oct 29, 2020",12.44%,16.64%,7.23%,151.66%,5.52B,24.83,3.30%,3.62B,1.08B,687M,3.07,-43.60%,3.65B,16.35,2.77B,747.84,1.65,1.67,1.2B,997.37M,NTAP,6463,,,,,,,,,,
1.62,,,24.11,7.88,19.74,16.57,828.43k,891.91k,199.63M,509.4M,39.44%,32.92%,1.24M,1.4,1.02%,0.21%,1.09M,0.2,0.89%,0.20,0.89%,1.46,,"Apr 13, 2021","Mar 15, 2021",2:3,"Nov 15, 2010","Jun 29, 2020","Dec 30, 2020",-9.89%,6.40%,2.22%,-11.76%,8.72B,14.80,-2.60%,4.08B,978M,-862M,-1.46,171.80%,1.56B,2.64,2.58B,28.42,1.26,13.77,1.07B,1.06B,NWS,6468,,,,,,,,,,
1.01,,,136.98,61.13,124.85,110.44,1.84M,1.87M,305.39M,304.16M,0.32%,90.07%,2.27M,1.37,0.75%,0.74%,2.5M,0.78,0.61%,0.73,0.57%,0.86,28.23%,"Jan 26, 2021","Jan 03, 2021",1398:1000,"Nov 02, 2014","Oct 30, 2020","Jan 30, 2021",14.65%,20.92%,7.54%,16.78%,5.53B,17.95,14.10%,2.84B,1.46B,810M,2.60,46.20%,1.33B,4.36,2.5B,52.02,2.07,15.75,1.22B,880M,A,6474,,,,,,,,,,
0.84,,,145.83,71.66,140.88,130.78,898.09k,640.43k,164.04M,114.46M,18.69%,77.96%,2.65M,2.52,2.32%,1.62%,2.76M,1.96,1.36%,1.94,1.34%,1.74,34.70%,"Mar 25, 2021","Mar 10, 2021",,,"Dec 30, 2020","Dec 30, 2020",16.58%,23.90%,5.27%,15.45%,5.63B,34.23,37.40%,2.9B,1.54B,933M,5.59,10.30%,2.94B,17.87,5.93B,92.14,1.56,39.11,,,NDAQ,6475,,,,,,,,,,
0.33,,,98.92,60.69,87.26,87.33,1.49M,1.34M,343M,342.01M,0.34%,80.56%,2.67M,1.63,0.89%,0.78%,3.08M,2.41,2.96%,2.27,2.75%,2.92,47.96%,"Mar 30, 2021","Mar 02, 2021",2:1,"Apr 29, 2013","Dec 30, 2020","Dec 30, 2020",13.53%,22.96%,2.93%,8.98%,8.9B,26.28,9.00%,4.45B,3.03B,1.21B,3.55,8.80%,106.6M,0.31,18.09B,127.20,0.64,41.01,1.68B,-2.33B,ES,6500,,,,,,,,,,
0.84,,,232.15,143.93,213.0,204.74,1.6M,1.84M,228.62M,226.67M,1.00%,108.34%,23.57M,16.2,10.42%,10.31%,21.47M,1.84,0.81%,1.78,0.78%,1.00,21.07%,"Feb 11, 2021","Jan 28, 2021",3:2,"May 17, 1999","Dec 30, 2020","Dec 30, 2020",17.79%,25.25%,5.68%,57.37%,11.07B,47.72,2.80%,5.17B,3.21B,1.97B,8.45,40.10%,1.19B,5.2,8.63B,240.75,1.07,15.25,2.78B,2.62B,AON,6510,,,,,,,,,,
0.33,,,59.8,37.66,49.13,52.42,1.2M,1.15M,249.76M,249.46M,0.12%,75.70%,2.78M,2.27,1.27%,1.11%,2.15M,1.61,3.38%,1.52,3.13%,2.97,55.78%,"Feb 15, 2021","Jan 27, 2021",2:1,"May 19, 2016","Dec 30, 2020","Dec 30, 2020",17.97%,21.66%,2.69%,10.87%,3.42B,13.75,-7.20%,1.46B,1.36B,614M,2.47,-42.60%,54M,0.22,7.17B,121.71,0.68,22.76,501M,-597.92M,LNT,6512,,,,,,,,,,
1.81,,,56.94,20.84,44.62,38.66,11.46M,9.37M,1.35B,1.35B,0.04%,75.96%,17.17M,1.44,1.27%,1.27%,42.83M,1.72,3.55%,1.69,3.54%,2.81,,"Feb 28, 2021","Feb 10, 2021",1311791:1000000,"Apr 30, 2012","Dec 30, 2020","Dec 30, 2020",-14.06%,-9.00%,-1.62%,-8.18%,19.22B,17.83,-28.80%,6.79B,4.66B,-2.7B,-2.51,,7.86B,5.8,16.15B,54.12,2.25,27.95,4.8B,654.63M,COP,6517,,,,,,,,,,
0.47,,,55.49,33.36,48.26,40.83,7.13M,5.01M,864.04M,715.52M,17.25%,58.84%,15.27M,1.88,2.13%,1.77%,18.13M,1.87,3.82%,1.85,3.78%,2.74,,"Mar 11, 2021","Feb 17, 2021",2:1,"Feb 15, 1999","Aug 30, 2020","Nov 29, 2020",-0.49%,2.03%,2.00%,-3.18%,141.51B,162.11,5.70%,28.02B,4.49B,-697M,-0.80,,1.11B,1.29,41.88B,201.90,0.69,23.22,5.62B,2.63B,WBA,6569,,,,,,,,,,
,,,,,,,,,1.22B,515.68M,0.44%,40.35%,31.83M,2.77,2.89%,2.62%,37.93M,,,,,,,,"Jun 26, 2007",3:2,"Oct 08, 2003","Dec 30, 2019","Sep 29, 2020",2.31%,15.72%,3.63%,2.22%,11.51B,22.28,0.40%,4.55B,3.51B,266.4M,,-2.20%,744.5M,1.44,12.51B,99.70,1.01,,1.88B,1.86B,VTRS,6624,,,,,,,,,,
2.39,,,31.99,11.87,24.7,20.19,12.86M,11.08M,1.39B,1.39B,0.16%,76.16%,20.88M,1.47,1.50%,1.50%,19.28M,0.5,1.91%,0.88,3.42%,4.26,,"Apr 07, 2021","Feb 15, 2021",2:1,"Apr 09, 2006","Dec 30, 2020","Dec 30, 2020",-44.57%,7.02%,2.10%,-57.20%,23.6B,16.98,-32.80%,2.6B,4.22B,-10.52B,-7.57,12.30%,3.01B,2.16,17.9B,143.30,1.23,8.67,2.94B,2.6B,SLB,6642,,,,,,,,,,
1.01,,,4806.54,2043.01,4391.42,4183.43,25.32k,20.76k,3.7M,3.58M,5.40%,84.67%,44.61k,1.52,1.51%,1.21%,30.71k,,,,,,0.00%,,,,,"Dec 30, 2020","Dec 30, 2020",11.92%,15.12%,14.90%,33.11%,7.56B,2048.43,17.70%,1.57B,1.17B,901.25M,230.11,19.10%,2.71B,737.46,1.61B,51.76,6.21,839.67,925.27M,542.89M,NVR,6660,,,,,,,,,,
1.78,,,100.96,23.25,92.27,72.71,2.71M,2.2M,306.69M,304.68M,0.53%,88.75%,3.87M,1.31,1.26%,1.26%,6.69M,1.76,1.87%,1.76,1.95%,2.20,48.89%,"Mar 03, 2021","Feb 16, 2021",,,"Dec 30, 2020","Dec 30, 2020",19.16%,26.70%,1.01%,10.03%,5.95B,19.39,8.80%,5.41B,,1.1B,3.60,12.90%,13.56B,44.23,21.33B,195.95,1.14,32.06,6.2B,,DFS,6666,,,,,,,,,,
1.56,,,57.47,23.85,53.99,41.62,2.51M,1.26M,131.15M,129.88M,0.91%,92.60%,3.25M,0.83,2.82%,2.48%,1.97M,0.68,1.22%,0.68,1.22%,1.41,64.76%,"Dec 03, 2020","Nov 18, 2020",2:1,"Dec 10, 2007","Dec 30, 2019","Sep 29, 2020",7.36%,17.62%,6.49%,7.56%,1.89B,14.26,-1.00%,935.4M,431.05M,139.03M,1.04,-2.20%,320.72M,2.45,833.94M,46.10,2.52,13.79,289.74M,233.02M,FLIR,6671,,,,,,,,,,
1.64,,,84.41,25.51,75.17,73.2,3.03M,2.42M,363.7M,331.91M,8.70%,84.14%,5.88M,1.68,2.00%,1.62%,5.48M,0.8,1.01%,0.73,0.93%,1.13,9.81%,"Feb 24, 2021","Feb 15, 2021",4:3,"Mar 16, 2005","Sep 29, 2020","Dec 30, 2020",12.30%,15.66%,12.05%,23.57%,22.22B,60.97,47.60%,4.62B,3.56B,2.73B,7.40,83.60%,2.39B,6.57,4.3B,33.69,6.25,34.33,1.28B,309.11M,DHI,6698,,,,,,,,,,
0.48,,,153.66,102.0,144.54,142.49,7.9M,11.02M,2.83B,1.43B,51.07%,30.35%,15.04M,1.97,1.08%,0.53%,13.8M,2.2,1.59%,2.16,1.57%,2.23,45.47%,"Jan 03, 2021","Mar 17, 2021",2:1,"Apr 19, 1999","Jan 30, 2021","Jan 30, 2021",2.42%,4.10%,5.86%,16.21%,559.15B,197.51,7.30%,138.84B,34.08B,13.51B,4.75,,17.74B,6.28,63.25B,72.25,0.97,28.77,36.07B,11.59B,WMT,6707,,,,,,,,,,
0.87,,,120.97,74.33,112.74,114.1,1.71M,1.79M,508.19M,502.31M,0.11%,89.61%,3.74M,2.21,0.74%,0.74%,3.58M,1.86,1.58%,1.84,1.56%,1.79,46.70%,"Feb 11, 2021","Jan 28, 2021",2:1,"Jun 30, 2002","Dec 30, 2020","Dec 30, 2020",11.70%,19.29%,6.45%,23.79%,17.22B,34.04,3.60%,7.35B,4.06B,2.02B,3.94,-4.30%,2.09B,4.11,13.58B,146.64,1.25,18.23,3.38B,3.22B,MMC,6751,,,,,,,,,,
0.98,,,50.7,23.07,45.99,40.91,3.76M,3.64M,692.45M,687.54M,8.69%,61.63%,6.01M,1.71,0.88%,0.87%,6.34M,1.32,2.75%,1.12,2.37%,2.32,16.79%,"Feb 28, 2021","Feb 15, 2021",2:1,"Mar 18, 2018","Dec 30, 2020","Dec 30, 2020",21.57%,18.78%,1.63%,15.29%,22.15B,31.03,5.50%,4.16B,4.2B,4.78B,6.67,21.80%,,,7.9B,23.54,,48.46,,,AFL,6766,,,,,,,,,,
2.13,,,71.33,27.0,57.58,46.76,5.15M,3.73M,583.38M,581.39M,0.33%,89.87%,10.66M,2.18,2.04%,1.83%,10.94M,1.5,2.48%,1.41,2.33%,1.23,,"Jan 28, 2021","Jan 13, 2021",2:1,"Mar 31, 2014","Dec 30, 2019","Sep 29, 2020",-2.70%,-1.38%,-0.27%,-1.48%,11.3B,19.52,-45.00%,9.12B,5.43B,-305.52M,-0.53,,3.07B,5.26,5.98B,29.66,1.69,34.54,5.69B,1.66B,EOG,6813,,,,,,,,,,
1.83,,,26.11,8.25,16.54,14.23,72.4M,34.04M,639.68M,633.52M,0.93%,45.42%,97.37M,1.34,21.03%,15.67%,171.34M,,,0.10,0.56%,1.28,,"Feb 18, 2020","Feb 03, 2020",0:1,"Dec 08, 2013","Dec 30, 2020","Dec 30, 2020",-51.25%,-63.78%,-11.33%,,17.34B,35.83,-64.40%,-5.54B,-8.75B,-8.89B,-18.36,,6.86B,10.73,41.02B,,0.67,-11.05,-6.54B,-8.71B,AAL,6833,,,,,,,,,,
2.44,,,108.84,28.4,95.87,75.73,1.06M,802.01k,71.1M,70.9M,0.49%,100.77%,1.66M,1.79,3.09%,2.34%,1.7M,,,0.08,0.08%,,1.34%,"Mar 30, 2020","Mar 18, 2020",2:1,"Oct 09, 1991","Feb 01, 2020","Oct 31, 2020",-14.99%,0.04%,0.01%,-21.54%,7.64B,106.68,-18.10%,5.4B,329.9M,-1.15B,-15.99,-66.60%,1.46B,20.53,5.41B,115.75,1.54,65.77,1.02B,878.57M,PVH,6862,,,,,,,,,,
1.48,,,40.18,10.18,35.11,24.75,4.58M,4.18M,277.84M,276.98M,0.24%,89.75%,6.97M,1.6,3.20%,2.51%,6.84M,,,0.34,0.89%,4.15,,"Mar 29, 2020","Mar 04, 2020",2:1,"Apr 04, 2005","Jun 26, 2020","Dec 25, 2020",-9.22%,12.01%,4.14%,-13.78%,4.65B,16.78,-7.20%,3.36B,783.5M,-428.2M,-1.55,4.10%,1.65B,5.95,3.81B,131.92,1.88,10.41,591.6M,617.81M,TPR,6864,,,,,,,,,,
0.44,,,12.4,5.8,11.29,11.27,5.85M,6.52M,1.56B,1.55B,0.21%,37.36%,32.17M,5.24,2.07%,2.07%,26.43M,0.47,4.16%,0.47,4.12%,,94.00%,"Mar 15, 2021","Feb 22, 2021",,,"Jun 29, 2020","Dec 30, 2020",6.23%,10.89%,5.06%,15.26%,12.48B,7.95,2.00%,2.54B,1.94B,776.5M,0.31,17.70%,762M,0.49,6.94B,143.09,1.28,3.33,1.48B,1.33B,AMCR,6912,,,,,,,,,,
0.73,,,120.53,72.13,116.8,109.71,4.35M,5.06M,1.35B,1.34B,0.06%,83.39%,7.35M,1.82,0.55%,0.55%,6.6M,2.32,2.05%,2.24,1.94%,2.08,85.82%,"Jan 14, 2021","Dec 20, 2020",2:1,"Sep 26, 1999","Apr 23, 2020","Oct 29, 2020",13.30%,14.63%,2.73%,7.35%,27.87B,20.77,-0.80%,19.64B,6.56B,3.71B,2.74,-64.10%,14.28B,10.61,30.01B,59.64,2.16,37.28,6B,5.38B,MDT,6914,,,,,,,,,,
0.79,,,35.61,18.12,27.93,28.05,4.56M,3.53M,768.83M,767.9M,0.12%,70.66%,11.26M,2.8,1.47%,1.46%,11.85M,1.66,6.00%,1.66,5.97%,5.04,86.91%,"Jan 03, 2021","Dec 08, 2020",10000:9314,"Jun 01, 2015","Dec 30, 2019","Dec 30, 2020",20.22%,40.60%,4.19%,12.06%,7.63B,9.99,-1.30%,4.36B,4.43B,1.54B,2.01,-20.30%,708M,0.92,24.97B,186.73,0.50,17.80,2.79B,-524.88M,PPL,6921,,,,,,,,,,
1.73,,,51.44,20.26,48.63,42.39,1.05M,945.77k,228.88M,225.16M,0.45%,86.85%,2.84M,2.53,1.66%,1.24%,3.25M,0.08,0.16%,0.08,0.16%,0.18,,"Dec 31, 2020","Dec 09, 2020",2:1,"Aug 26, 2007","Jan 01, 2021","Jan 01, 2021",2.65%,5.40%,2.58%,5.44%,11.65B,50.98,-9.10%,751M,1.02B,309M,1.35,18.60%,2.15B,9.48,4.72B,80.79,2.51,25.82,768M,563.5M,TXT,6935,,,,,,,,,,
0.28,,,218.0,117.06,195.52,160.66,4.39M,3.23M,958.43M,856.41M,0.16%,79.17%,6.67M,1.23,0.84%,0.70%,5.2M,3.4,1.69%,2.96,1.47%,2.28,43.59%,"Mar 09, 2021","Feb 10, 2021",2:1,"Oct 15, 1997","Dec 30, 2020","Dec 30, 2020",25.24%,30.77%,10.99%,145.32%,24.54B,27.04,21.70%,19.06B,8.88B,6.19B,6.79,41.50%,3.68B,4.05,17.55B,301.27,1.40,6.22,6.5B,3.56B,LLY,6946,,,,,,,,,,
0.2,,,239.87,155.83,197.26,208.48,1.68M,1.78M,125.79M,125.33M,0.17%,85.84%,10.7M,6.08,9.75%,8.51%,12.28M,4.44,2.37%,4.39,2.31%,2.42,45.40%,"May 06, 2021","Apr 19, 2021",2:1,"Aug 23, 1999","Jun 29, 2020","Dec 30, 2020",16.28%,20.40%,15.58%,127.03%,7.52B,59.64,27.10%,3.06B,1.73B,1.22B,9.56,40.00%,732M,5.82,3.16B,228.77,1.21,9.42,1.68B,1.06B,CLX,6970,,,,,,,,,,
1.36,,,167.94,58.0,154.37,135.38,9.2M,10.43M,1.14B,1.13B,0.14%,77.64%,13.73M,1.97,1.21%,1.21%,16.19M,2.6,1.79%,2.57,1.79%,3.41,44.01%,"Mar 24, 2021","Mar 02, 2021",2:1,"Aug 15, 2004","Sep 26, 2020","Dec 26, 2020",25.21%,28.94%,13.68%,113.14%,26.69B,23.57,62.20%,14.28B,9.13B,6.73B,5.85,165.40%,12.3B,10.83,15.73B,213.16,2.15,6.50,7.87B,5.04B,QCOM,6995,,,,,,,,,,
0.81,,,113.41,62.55,107.17,97.51,7.39M,5.84M,1.77B,1.74B,0.10%,70.00%,14.87M,1.99,0.84%,0.84%,13.33M,5.2,4.95%,4.84,4.56%,4.14,180.53%,"Feb 15, 2021","Jan 13, 2021",,,"Dec 30, 2020","Dec 30, 2020",10.08%,34.17%,,129.89%,45.8B,27.38,59.20%,31.71B,21.53B,4.62B,2.72,-98.70%,7.96B,4.51,87.1B,569.68,,8.65,,,ABBV,7038,,,,,,,,,,
