endDate,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,stockId,ticker,type
2020-02-29,,,1509556000,446217000,1234740000,1870226000,3359171000,1488945000,1488945000,,-8567000,,,,257474000,11141505000,9652560000,7782334000,20611000,,1252082000,1234740000,8431,ACN,quarterly
2020-12-31,,,156100000,,119600000,526100000,761300000,178900000,178900000,,-26400000,,,,36500000,1112800000,933900000,351500000,-22800000,,119600000,119600000,8432,IT,quarterly
2020-09-30,,,14167000,,16964000,521508000,664851000,89372000,89372000,,-30538000,,,,-2797000,994618000,905246000,329767000,-75205000,,16964000,16964000,8432,IT,quarterly
2020-06-30,,,58956000,,55077000,495840000,650584000,100808000,100808000,,-40596000,,,,3879000,973135000,872327000,322551000,-41852000,,55077000,55077000,8432,IT,quarterly
2020-03-31,,,96854000,,75097000,497739000,677613000,125178000,125178000,,-26349000,,,,21757000,1018891000,893713000,341278000,-28324000,,75097000,75097000,8432,IT,quarterly
2020-12-31,119200000,,81300000,,355200000,175900000,399100000,104000000,104000000,,-24600000,,,,-273900000,568900000,464900000,169800000,-22700000,,355200000,355200000,8492,DXCM,quarterly
2020-09-30,87700000,,75100000,,72200000,158600000,340400000,94100000,94100000,,-24400000,,,,2900000,500900000,406800000,160500000,-19000000,,72200000,72200000,8492,DXCM,quarterly
2020-06-30,79900000,,46200000,,46300000,136400000,284100000,67800000,67800000,,-20300000,,,,-100000,451800000,384000000,167700000,-21600000,,46300000,46300000,8492,DXCM,quarterly
2020-03-31,73100000,,22400000,,19900000,149800000,256500000,33600000,33600000,,-15400000,,,,2500000,405100000,371500000,148600000,-11200000,,19900000,19900000,8492,DXCM,quarterly
2020-11-30,,,1406000000,,1226000000,,5417000000,1615000000,1615000000,2866000000,-184000000,,,,180000000,20563000000,18948000000,15146000000,-209000000,,1226000000,1224000000,8500,FDX,quarterly
2020-08-31,,,1606000000,,1245000000,,5386000000,1791000000,1791000000,2669000000,-184000000,,,,361000000,19321000000,17530000000,13935000000,-185000000,,1245000000,1243000000,8500,FDX,quarterly
2020-05-31,,,-319000000,,-334000000,427000000.0,3765000000,218000000,218000000,2193000000,-229000000,,,,15000000,17358000000,17140000000,13593000000,-537000000,,-334000000,-333000000,8500,FDX,quarterly
2020-02-29,,,420000000,,315000000,427000000.0,4188000000,579000000,579000000,2701000000,-155000000,,,,105000000,17487000000,16908000000,13299000000,-159000000,,315000000,314000000,8500,FDX,quarterly
2021-01-02,,,263000000,524000000,205000000,749000000,1188000000,439000000,439000000,,-85000000,,,,55000000,3464000000,3025000000,2276000000,-176000000,,208000000,205000000,8510,K,quarterly
2020-09-26,,,417000000,542000000,348000000,790000000,1201000000,411000000,411000000,,-63000000,,,,65000000,3429000000,3018000000,2228000000,6000000,,352000000,348000000,8510,K,quarterly
2020-06-27,,,463000000,536000000,351000000,669000000,1207000000,538000000,538000000,,-69000000,,,,109000000,3465000000,2927000000,2258000000,-75000000,,354000000,351000000,8510,K,quarterly
2020-03-28,,,444000000,538000000,347000000,679000000,1144000000,465000000,465000000,,-64000000,,,,94000000,3412000000,2947000000,2268000000,-21000000,,350000000,347000000,8510,K,quarterly
2020-12-31,,,90289000,,72931000,22543000,125952000,92817000,92817000,,-96000,,,,17358000,171346000,78529000,45394000,-2528000,,72931000,72931000,8533,MKTX,quarterly
2020-09-30,,,87965000,,67776000,21171000,118006000,87803000,87803000,,-1046000,,,,20189000,164006000,76203000,46000000,162000,,67776000,67776000,8533,MKTX,quarterly
2020-06-30,,,104403000,,83854000,22127000,134567000,104135000,104135000,,-1046000,,,,20549000,184795000,80660000,50228000,268000,,83854000,83854000,8533,MKTX,quarterly
2020-03-31,,,91702000,,74816000,20467000,119623000,91089000,91089000,,-1046000,,,,16886000,168978000,77889000,49355000,613000,,74816000,74816000,8533,MKTX,quarterly
