endDate,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,stockId,ticker,type
2020-12-31,75700000,,432100000,,358600000,515300000,1066200000,475200000,475200000,,-23900000,,,,75000000,3017800000,2542600000,1951600000,-43100000,1500000,357100000,358600000,11,PNR,yearly
2019-12-31,78900000,,407500000,,355700000,525400000,1051500000,447200000,447200000,,-30100000,,,,45800000,2957200000,2510000000,1905700000,-39700000,-6000000,361700000,355700000,11,PNR,yearly
2018-12-31,76700000,,379800000,,347400000,502800000,1047700000,468200000,468200000,,-32600000,,,,58100000,2965100000,2496900000,1917400000,-88400000,25700000,321700000,347400000,11,PNR,yearly
2017-12-31,73200000,,172800000,,666500000,512900000,987500000,401400000,401400000,,-87300000,,,,58700000,2845700000,2444300000,1858200000,-228600000,552400000,114100000,666500000,11,PNR,yearly
2020-12-31,,,365400000,3200000,314300000,610800000,1184000000,573200000,573200000,,-51100000,,,,50900000,2719900000,2146700000,1535900000,-207800000,,314500000,314300000,37,ALLE,yearly
2019-12-31,,,475200000,3000000,401800000,677900000,1260600000,582700000,582700000,,-56000000,,,,73100000,2854000000,2271300000,1593400000,-107500000,,402100000,401800000,37,ALLE,yearly
2018-12-31,,,475200000,3000000,434900000,631500000,1175000000,543500000,543500000,,-54000000,,,,39800000,2731700000,2188200000,1556700000,-68300000,,435400000,434900000,37,ALLE,yearly
2017-12-31,,,395700000,3900000,273300000,580000000,1072900000,492900000,492900000,,-105700000,,,,119000000,2408200000,1915300000,1335300000,-97200000,,276700000,273300000,37,ALLE,yearly
2020-12-31,,,2704000000,1000000,2109000000,2150000000,5199000000,2895000000,2895000000,,-206000000,,,,595000000,12574000000,9679000000,7375000000,-191000000,,2109000000,2109000000,45,ITW,yearly
2019-12-31,,,3288000000,4000000,2521000000,2337000000,5922000000,3426000000,3426000000,,-221000000,,,,767000000,14109000000,10683000000,8187000000,-138000000,,2521000000,2521000000,45,ITW,yearly
2018-12-31,,,3394000000,4000000,2563000000,2371000000,6164000000,3604000000,3604000000,,-257000000,,,,831000000,14768000000,11164000000,8604000000,-210000000,,2563000000,2563000000,45,ITW,yearly
2017-12-31,,,3270000000,4000000,1687000000,2403000000,6008000000,3399000000,3399000000,,-260000000,,,,1583000000,14314000000,10915000000,8306000000,-129000000,,1687000000,1687000000,45,ITW,yearly
2020-10-25,2234000000,,4166000000,,3619000000,1013000000,7715000000,4468000000,4468000000,,-240000000,,,,547000000,17202000000,12734000000,9487000000,-302000000,,3619000000,3619000000,48,AMAT,yearly
2019-10-27,2054000000,,3269000000,,2706000000,960000000,6386000000,3372000000,3372000000,,-237000000,,,,563000000,14608000000,11236000000,8222000000,-103000000,,2706000000,2706000000,48,AMAT,yearly
2018-10-28,2022000000,,4396000000,,3038000000,999000000,7517000000,4496000000,4496000000,,-234000000,,,,1358000000,16705000000,12209000000,9188000000,32000000,,3038000000,3038000000,48,AMAT,yearly
2017-10-29,1781000000,,3816000000,,3519000000,895000000,6612000000,3936000000,3936000000,,-198000000,,,,297000000,14698000000,10762000000,8086000000,-120000000,,3519000000,3519000000,48,AMAT,yearly
2020-12-31,144000000,,-1006000000,26000000,-770000000,2026000000,3083000000,913000000,913000000,,-274000000,,,,-236000000,9385000000,8472000000,6302000000,-1919000000,,-770000000,-770000000,52,NWL,yearly
2019-12-31,149000000,,-852000000,33000000,107000000,2263000000,3235000000,823000000,823000000,,-303000000,,,,-1038000000,9715000000,8892000000,6480000000,-1675000000,-79000000.0,186000000,107000000,52,NWL,yearly
2018-12-31,151000000,,-7992000000,34800000,-6942000000,2486000000,3518000000,881000000,881000000,,-446000000,,,,-1359000000,10154000000,9273000000,6636000000,-8873000000,-309000000.0,-6633000000,-6942000000,52,NWL,yearly
2017-12-31,175000000,,919300000,36600000,2748800000,2749100000,3810500000,886400000,886400000,,-475800000,,,,-1515000000,11170400000,10284000000,7359900000,32900000,314500000.0,2434300000,2748800000,52,NWL,yearly
2020-12-31,,,267342000,216775000,254962000,46858000,985213000,427513000,427513000,,-167562000,,,,3327000,1677984000,1250471000,692771000,-160171000,,264015000,250936000,54,MAA,yearly
2019-12-31,,,370314000,220894000,353811000,43845000,973161000,432473000,432473000,,-179847000,,,,3696000,1641017000,1208544000,667856000,-62159000,,366618000,349604000,54,MAA,yearly
2018-12-31,,,233633000,222349000,222899000,38855000,929125000,400511000,400511000,,-173594000,,,,2611000,1571346000,1170835000,642221000,-166878000,,231022000,218920000,54,MAA,yearly
2017-12-31,,,343155000,233982000,328379000,40194000,908668000,374766000,374766000,,-154751000,,,,2619000,1528987000,1154221000,620319000,-31611000,,340536000,324156000,54,MAA,yearly
2020-12-31,,,963353000,576786000,913636000,48305000,1655320000,786183000,786183000,,-374012000,,,,852000,2571705000,1785522000,916385000,177170000,,962501000,910546000,80,EQR,yearly
2019-12-31,,,1007427000,692420000,970377000,52757000,1792363000,908523000,908523000,,-401746000,,,,-2281000,2700691000,1792168000,908328000,98904000,,1009708000,967287000,80,EQR,yearly
2018-12-31,,,686070000,605551000,657535000,53813000,1698047000,858509000,858509000,,-424670000,,,,878000,2577681000,1719172000,879634000,-172439000,,685192000,654445000,80,EQR,yearly
2017-12-31,,,628859000,598354000,603454000,52224000,1645137000,849164000,849164000,,-392416000,,,,478000,2471406000,1622242000,826269000,-220305000,,628381000,600363000,80,EQR,yearly
2020-06-30,,,1046000000,27000000,684000000,8651000000,10752000000,2101000000,2101000000,,-161000000,,,,350000000,14294000000,12193000000,3542000000,-1055000000,,696000000,684000000,97,EL,yearly
2019-06-30,,,2307000000,25000000,1785000000,8896000000,11498000000,2602000000,2602000000,,-133000000,,,,513000000,14863000000,12261000000,3365000000,-295000000,,1794000000,1785000000,97,EL,yearly
2018-06-30,,,1980000000,22000000,1108000000,8599000000,10857000000,2258000000,2258000000,,-128000000,,,,863000000,13683000000,11425000000,2826000000,-278000000,,1117000000,1108000000,97,EL,yearly
2017-06-30,,,1617000000,18000000,1249000000,7529000000,9405000000,1876000000,1876000000,,-103000000,,,,361000000,11824000000,9948000000,2419000000,-259000000,,1256000000,1249000000,97,EL,yearly
2020-12-31,551000000,,1746000000,43000000,1410000000,3113000000,5450000000,1786000000,1786000000,,-221000000,,,,331000000,17858000000,16072000000,12408000000,-40000000,,1415000000,1410000000,119,ETN,yearly
2019-12-31,606000000,,2591000000,51000000,2211000000,3589000000,7052000000,2857000000,2857000000,,-272000000,,,,378000000,21390000000,18533000000,14338000000,-266000000,,2213000000,2211000000,119,ETN,yearly
2018-12-31,584000000,,2424000000,35000000,2145000000,3542000000,7098000000,2972000000,2972000000,,-258000000,,,,278000000,21609000000,18637000000,14511000000,-548000000,,2146000000,2145000000,119,ETN,yearly
2017-12-31,584000000,,3368000000,37000000,2985000000,3560000000,6648000000,2504000000,2504000000,,-246000000,,,,382000000,20404000000,17900000000,13756000000,864000000,,2986000000,2985000000,119,ETN,yearly
2020-12-31,,,18995000000,,17894000000,48483000000,74208000000,0,19818000000,5907000000,,,,,1101000000,74208000000,54390000000,0,-823000000,,17894000000,16473000000,134,BAC,yearly
2019-12-31,,,32754000000,,27430000000,46742000000,85582000000,0,33435000000,5405000000,,,,,5324000000,85582000000,52147000000,0,-681000000,,27430000000,25998000000,134,BAC,yearly
2018-12-31,,,34584000000,,28147000000,46188000000,87738000000,0,34584000000,6966000000,,,,,6437000000,87738000000,53154000000,0,0,,28147000000,26696000000,134,BAC,yearly
2017-12-31,,,29213000000,,18232000000,46359000000,83730000000,0,29213000000,8158000000,,,,,10981000000,83730000000,54517000000,0,0,,18232000000,16618000000,134,BAC,yearly
2020-03-28,853589000,,833984000,,792721000,428108000,2137432000,824450000,824450000,,-39820000,,,,41263000,3162666000,2338216000,1025234000,9534000,,792721000,792721000,137,XLNX,yearly
2019-03-30,743027000,,968332000,,889750000,398416000,2103172000,956799000,956799000,,-52883000,,,,78582000,3059040000,2102241000,955868000,11533000,,889750000,889750000,137,XLNX,yearly
2018-03-31,639750000,,691379000,,463981000,362329000,1723604000,719373000,719373000,,-45837000,,,,227398000,2467023000,1747650000,743419000,-27994000,,463981000,463981000,137,XLNX,yearly
2017-04-01,601443000,,698076000,,628133000,335150000,1648110000,706390000,706390000,,-53953000,,,,69943000,2356742000,1650352000,708632000,-8314000,,628133000,628133000,137,XLNX,yearly
2020-12-31,495000000,,1292000000,37000000,1102000000,2360000000,4733000000,1878000000,1878000000,,-153000000,,,,182000000,11673000000,9795000000,6940000000,-586000000,,1110000000,1102000000,144,BAX,yearly
2019-12-31,542000000,,970000000,30000000,1001000000,2384000000,4916000000,1990000000,1990000000,,-111000000,,,,-41000000,11362000000,9372000000,6446000000,-1020000000,,1011000000,1001000000,144,BAX,yearly
2018-12-31,618000000,,1617000000,22000000,1546000000,2401000000,4811000000,1801000000,1801000000,-9000000.0,-93000000,,,,65000000,11099000000,9298000000,6288000000,-184000000,-6000000.0,1552000000,1546000000,144,BAX,yearly
2017-12-31,615000000,,1100000000,-8000000,602000000,2516000000,4585000000,1510000000,1510000000,-56000000.0,-85000000,,,,491000000,10584000000,9074000000,5999000000,-410000000,-7000000.0,609000000,602000000,144,BAX,yearly
2020-12-31,,,682253000,154674000,584520000,2667778000,3881231000,1213453000,1213453000,,-326800000,,,,77153000,7423558000,6210105000,3542327000,-531200000,,605100000,584520000,149,GPN,yearly
2019-12-31,,,531466000,199242000,430613000,1847772000,2894789000,1047017000,1047017000,,-301200000,,,,62190000,4911892000,3864875000,2017103000,-515551000,,469276000,430613000,149,GPN,yearly
2018-12-31,,,562155000,194936000,452053000,1478197000,2271352000,793155000,793155000,,-195500000,,,,77488000,3366366000,2573211000,1095014000,-231000000,,484667000,452053000,149,GPN,yearly
2017-12-31,,,392683000,170704000,468425000,1488258000,2047126000,558868000,558868000,,-174300000,,,,-101387000,3975163000,3416295000,1928037000,-166185000,,494070000,468425000,149,GPN,yearly
2020-12-31,,,1693500000,314000000,1395800000,4646500000,6340000000,1693500000,1693500000,,,,,,265000000,14741700000,13048200000,8401700000,0,,1428500000,1395800000,150,PFG,yearly
2019-12-31,,,1693300000,332700000,1394200000,4503900000,6197200000,1693300000,1693300000,,,,,,249200000,16222100000,14528800000,10024900000,0,,1444100000,1394200000,150,PFG,yearly
2018-12-31,,,1784400000,457200000,1546500000,4136700000,5921100000,1784400000,1784400000,,,,,,230700000,14237200000,12452800000,8316100000,0,,1553700000,1546500000,150,PFG,yearly
2017-12-31,,,2252200000,173900000,2310400000,3893800000,6146000000,2252200000,2252200000,,,,,,-72300000,14093200000,11841000000,7947200000,0,,2324500000,2310400000,150,PFG,yearly
2020-12-31,,,-466000000,,-267000000,1038000000,1442000000,467000000,467000000,-293000000,-445000000,,,,-199000000,2119000000,1652000000,677000000,-933000000,,-267000000,-267000000,151,MAR,yearly
2019-12-31,,,1599000000,,1273000000,1789000000,4057000000,2037000000,2037000000,-11000000,-394000000,,,,326000000,5373000000,3336000000,1316000000,-438000000,,1273000000,1273000000,151,MAR,yearly
2018-12-31,,,2345000000,,1907000000,1587000000,3909000000,2521000000,2521000000,-425000000,-340000000,,,,438000000,5215000000,2694000000,1306000000,-176000000,,1907000000,1907000000,151,MAR,yearly
2017-12-31,,,2982000000,,1459000000,1483000000,3586000000,2663000000,2663000000,-789000000,-288000000,,,,1523000000,4997000000,2334000000,1411000000,319000000,,1459000000,1459000000,151,MAR,yearly
2020-12-31,,,-4256000000,,-3074000000,168000000,-1875000000,-5041000000,-5041000000,1743000000,-342000000,,,,-1182000000,9048000000,14089000000,10923000000,785000000,,-3074000000,-3074000000,185,LUV,yearly
2019-12-31,,,2957000000,,2300000000,225000000,7020000000,2948000000,2948000000,2628000000,-82000000,,,,657000000,22428000000,19480000000,15408000000,9000000,,2300000000,2300000000,185,LUV,yearly
2018-12-31,,,3164000000,,2465000000,227000000,7245000000,3180000000,3180000000,2637000000,-93000000,,,,699000000,21965000000,18785000000,14720000000,-16000000,,2465000000,2465000000,185,LUV,yearly
2017-12-31,,,3265000000,,3357000000,238000000,7316000000,3354000000,3354000000,2527000000,-65000000,,,,-92000000,21146000000,17792000000,13830000000,-89000000,,3357000000,3357000000,185,LUV,yearly
2020-12-31,126898000,,205692000,1292000,159572000,180588000,538996000,231510000,231510000,,,,,,45354000,1200724000,969214000,661728000,-25818000,,160338000,159572000,187,IPGP,yearly
2019-12-31,129997000,,248376000,717000,180234000,185342000,606209000,290870000,290870000,,,,,,68115000,1314581000,1023711000,708372000,-42494000,,180261000,180234000,187,IPGP,yearly
2018-12-31,122769000,,534395000,687000,404027000,160244000,800268000,517255000,517255000,,,,,,130226000,1459874000,942619000,659606000,16584000,,404169000,404027000,187,IPGP,yearly
2017-12-31,100870000,,551871000,687000,347614000,130469000,796911000,565572000,565572000,,,,,,204283000,1408889000,843317000,611978000,-13701000,,347588000,347614000,187,IPGP,yearly
2020-12-31,686000000,,1174000000,17000000,949000000,1212000000,3637000000,1524000000,1524000000,,-233000000,,,,221000000,7414000000,5890000000,3777000000,-350000000,,953000000,949000000,200,MSI,yearly
2019-12-31,687000000,,1001000000,17000000,868000000,1325000000,3948000000,1728000000,1728000000,,-237000000,,,,130000000,7887000000,6159000000,3939000000,-727000000,,871000000,868000000,200,MSI,yearly
2018-12-31,637000000,,1102000000,17000000,966000000,1179000000,3539000000,1535000000,1535000000,,-240000000,,,,133000000,7343000000,5808000000,3804000000,-433000000,,969000000,966000000,200,MSI,yearly
2017-12-31,568000000,,1076000000,15000000,-155000000,979000000,3033000000,1335000000,1335000000,,-215000000,,,,1227000000,6380000000,5045000000,3347000000,-259000000,,-151000000,-155000000,200,MSI,yearly
2019-12-31,187400000,,171000000,300000,146100000,1148500000,1773300000,444200000,444200000,-6800000,-128400000,,,,24900000,4837400000,4393200000,3064100000,-273200000,,146100000,146100000,219,PRGO,yearly
2018-12-31,218600000,,290600000,100000,131000000,1123800000,1831500000,483900000,483900000,5200000,-122100000,,,,159600000,4731700000,4247800000,2900200000,-193300000,,131000000,131000000,219,PRGO,yearly
2017-12-31,167700000,,280100000,100000,119600000,1145700000,1979500000,692500000,692500000,-26400000,-166100000,,,,160500000,4946200000,4253700000,2966700000,-412400000,,119600000,119600000,219,PRGO,yearly
2016-12-31,184000000,,-4848300000,-500000,-4012800000,1205900000,2051800000,661900000,661900000,-26400000,-212800000,,,,-835500000,5280600000,4618700000,3228800000,-5510200000,,-4012800000,-4012800000,219,PRGO,yearly
2020-12-31,,,1626157000,,1409594000,1090527000,2723880000,1633353000,1633353000,,-6996000,,,,216563000,4598638000,2965285000,1874758000,-7196000,,1409594000,1409594000,257,MNST,yearly
2019-12-31,,,1415962000,,1107835000,668346000,2518585000,1414239000,1414239000,,-56000,,,,308127000,4200819000,2786580000,1682234000,1723000,,1107835000,1107835000,257,MNST,yearly
2018-12-31,,,1293272000,,993004000,985156000,2295375000,1310219000,1310219000,,-60000,,,,300268000,3807183000,2496964000,1511808000,-16947000,,993004000,993004000,257,MNST,yearly
2017-12-31,,,1201623000,,820678000,903503000,2137690000,1234187000,1234187000,,-80000,,,,380945000,3369045000,2134858000,1231355000,-32564000,,820678000,820678000,257,MNST,yearly
2020-12-31,453000000,,560000000,,504000000,787000000,2003000000,685000000,685000000,,-76000000,,,,56000000,4448000000,3763000000,2445000000,-125000000,,504000000,504000000,276,ZBRA,yearly
2019-12-31,447000000,,598000000,,544000000,826000000,2100000000,724000000,724000000,,-86000000,,,,54000000,4485000000,3761000000,2385000000,-126000000,,544000000,544000000,276,ZBRA,yearly
2018-12-31,444000000,,524000000,,421000000,798000000,1981000000,642000000,642000000,,-90000000,,,,103000000,4218000000,3576000000,2237000000,-118000000,,421000000,421000000,276,ZBRA,yearly
2017-12-31,389000000,,88000000,,17000000,749000000,1710000000,388000000,388000000,,-162000000,,,,71000000,3722000000,3334000000,2012000000,-300000000,,17000000,17000000,276,ZBRA,yearly
2020-12-31,59214000,,501040000,200367000,375764000,386500000,995553000,549839000,549839000,,-73116000,,,,54425000,3128909000,2579070000,2133356000,-48799000,,446615000,375764000,321,ALB,yearly
2019-12-31,58287000,,692518000,161330000,533228000,438562000,1259478000,762629000,762629000,,-52866000,,,,88161000,3589427000,2826798000,2329949000,-70111000,,604357000,533228000,321,ALB,yearly
2018-12-31,70054000,,883965000,173787000,693562000,409736000,1234756000,754966000,754966000,,-52405000,,,,144826000,3374950000,2619984000,2140194000,128999000,,739139000,693562000,321,ALB,yearly
2017-12-31,78630000,,531285000,143147000,54850000,420022000,1145271000,646619000,646619000,,-62549000,,,,431817000,3071976000,2425357000,1926705000,-115334000,,99468000,54850000,321,ALB,yearly
2020-12-31,,,1161400000,35000000,-1205100000,3309100000,4932600000,1623500000,1623500000,,-206400000,,,,176600000,11790200000,10166700000,6857600000,-462100000,-2172500000,984800000,-1205100000,323,ECL,yearly
2019-12-31,,,1898900000,40500000,1558900000,3873700000,6221400000,2347700000,2347700000,,-215100000,,,,322700000,14906300000,12558600000,8684900000,-448800000,-2172500000,1576200000,1558900000,323,ECL,yearly
2018-12-31,,,1804600000,50400000,1429100000,3890100000,6051600000,2161500000,2161500000,,-236900000,,,,364300000,14668200000,12506700000,8616600000,-356900000,-2172500000,1440300000,1429100000,323,ECL,yearly
2017-12-31,,,1762400000,70200000,1504600000,3758000000,5815700000,2057700000,2057700000,,-252700000,,,,243800000,13835900000,11778200000,8020200000,-295300000,-2172500000,1518600000,1504600000,323,ECL,yearly
2020-12-31,,,10868000000,65000000,8458000000,13475000000,24356000000,8899000000,8899000000,,-1400000000,,,,2379000000,160550000000,151651000000,136194000000,1969000000,,8489000000,8458000000,344,CI,yearly
2019-12-31,,,6570000000,41000000,5104000000,13261000000,25256000000,9046000000,9046000000,,-1600000000,,,,1450000000,153743000000,144697000000,128487000000,-2476000000,,5120000000,5104000000,344,CI,yearly
2018-12-31,,,3581000000,44000000,2637000000,11141000000,16248000000,4872000000,4872000000,,-507000000,,,,935000000,48569000000,43697000000,32321000000,-1291000000,,2646000000,2637000000,344,CI,yearly
2017-12-31,,,3606000000,49000000,2237000000,9830000000,14324000000,4379000000,4379000000,9214000000.0,-243000000,,,,1374000000,42043000000,37664000000,27719000000,-773000000,,2232000000,2237000000,344,CI,yearly
2020-12-31,,,4300000000,,3299000000,5596000000,11338000000,0,4723000000,415000000,,,,,1001000000,11691000000,6968000000,353000000,-423000000,,3299000000,3043000000,350,SCHW,yearly
2019-12-31,,,4848000000,,3704000000,4922000000,10468000000,0,4936000000,261000000,,,,,1144000000,10721000000,5785000000,253000000,-88000000,,3704000000,3526000000,350,SCHW,yearly
2018-12-31,,,4562000000,,3507000000,4709000000,9890000000,0,4562000000,313000000,,,,,1055000000,10132000000,5570000000,242000000,0,,3507000000,3329000000,350,SCHW,yearly
2017-12-31,,,3650000000,,2354000000,4200000000,8387000000,0,3650000000,268000000,,,,,1296000000,8618000000,4968000000,231000000,0,,2354000000,2180000000,350,SCHW,yearly
2020-12-31,320700000,,1507700000,8500000,1613300000,1748400000,2608500000,539400000,539400000,,-148500000,,,,55500000,4634400000,4095000000,2025900000,968300000,161100000,1452200000,1544300000,361,FTV,yearly
2019-12-31,456700000,,874500000,13200000,738900000,2079600000,3696100000,1159800000,1159800000,,-164200000,,,,149100000,7320000000,6160200000,3623900000,-285300000,13500000,725400000,669900000,361,FTV,yearly
2018-12-31,414300000,,1078400000,17400000,2913800000,1701900000,3323300000,1207100000,1207100000,,-97000000,,,,160100000,6452700000,5245600000,3129400000,-128700000,1995500000,918300000,2878900000,361,FTV,yearly
2017-12-31,369300000,,1073600000,17900000,1044500000,1377800000,2923400000,1176300000,1176300000,,-88700000,,,,189300000,5756100000,4579800000,2832700000,-102700000,160200000,884300000,1044500000,361,FTV,yearly
2020-12-31,,,2773000000,189000000,1808000000,10763000000,17912000000,4110000000,4110000000,2320000000,-728000000,,,,979000000,104176000000,100066000000,86264000000,-1337000000,,1794000000,1808000000,375,CNC,yearly
2019-12-31,,,1782000000,141000000,1321000000,6448000000,11945000000,2580000000,2580000000,2659000000,-412000000,,,,473000000,70807000000,68227000000,58862000000,-798000000,,1309000000,1321000000,375,CNC,yearly
2018-12-31,,,1368000000,106000000,900000000,6331000000,10631000000,2132000000,2132000000,1957000000,-343000000,,,,474000000,56688000000,54556000000,46057000000,-764000000,,894000000,900000000,375,CNC,yearly
2017-12-31,,,1134000000,26000000,828000000,4370000000,7959000000,1465000000,1465000000,1968000000,-255000000,,,,326000000,45810000000,44345000000,37851000000,-328000000,,808000000,828000000,375,CNC,yearly
2020-03-28,,,727208000,,679449000,4529120000,5817436000,1288316000,1288316000,,-92042000,,,,98062000,10488556000,9200240000,4671120000,-561108000,50303000,629146000,679449000,470,VFC,yearly
2019-03-30,,,1038313000,,1259792000,4302258000,5625161000,1322903000,1322903000,,-107738000,,,,167887000,10266887000,8943984000,4641726000,-284590000,389366000,870426000,1259792000,470,VFC,yearly
2018-03-31,,,1278414000,,658553000,4508093000,5886506000,1378413000,1378413000,,-102384000,,,,641506000,11492383000,10113970000,5605877000,-99999000,21645000,636908000,658553000,470,VFC,yearly
2017-12-30,,,787879000,,614923000,3626301000,4550036000,923735000,923735000,,-101974000,,,,519809000,8394684000,7470949000,3844648000,-135856000,346853000,268070000,614923000,470,VFC,yearly
2020-12-31,,,1883000000,96000000,1772000000,2591000000,4453000000,1806000000,1806000000,9000000,-339000000,,,,101000000,64355000000,62549000000,59902000000,77000000,,1782000000,1772000000,488,ADM,yearly
2019-12-31,,,1588000000,75000000,1379000000,2519000000,4147000000,1587000000,1587000000,18000000,-402000000,,,,209000000,64656000000,63069000000,60509000000,1000000,,1379000000,1379000000,488,ADM,yearly
2018-12-31,,,2060000000,64000000,1810000000,2213000000,4181000000,1924000000,1924000000,18000000,-364000000,,,,245000000,64341000000,62417000000,60160000000,136000000,,1815000000,1810000000,488,ADM,yearly
2017-12-31,,,1609000000,62000000,1595000000,1984000000,3518000000,1524000000,1524000000,10000000,-330000000,,,,7000000,60828000000,59304000000,57310000000,85000000,,1602000000,1595000000,488,ADM,yearly
2020-06-30,,,15834000000,357000000,13027000000,20142000000,36314000000,16172000000,16172000000,,-465000000,,,,2731000000,70950000000,54778000000,34636000000,-338000000,,13103000000,12764000000,541,PG,yearly
2019-06-30,,,6069000000,385000000,3897000000,19083000000,33437000000,14354000000,14354000000,,-509000000,,,,2103000000,67684000000,53330000000,34247000000,-8285000000,,3966000000,3634000000,541,PG,yearly
2018-06-30,,,13326000000,590000000,9750000000,19037000000,32400000000,13363000000,13363000000,,-506000000,,,,3465000000,66832000000,53469000000,34432000000,-37000000,,9861000000,9485000000,541,PG,yearly
2017-06-30,,,13257000000,594000000,15326000000,18654000000,32420000000,13766000000,13766000000,,-465000000,,,,3063000000,65058000000,51292000000,32638000000,-509000000,5217000000.0,10194000000,15079000000,541,PG,yearly
2020-12-31,141249000,,661985000,707000,581776000,735267000,1571040000,694524000,694524000,,-33125000,,,,79854000,2706655000,2012131000,1135615000,-32539000,,582131000,581776000,543,IDXX,yearly
2019-12-31,133193000,,522218000,352000,427720000,666110000,1365549000,566246000,566246000,,-31055000,,,,94426000,2406908000,1840662000,1041359000,-44028000,,427792000,427720000,543,IDXX,yearly
2018-12-31,117863000,,457742000,280000,377031000,632344000,1241542000,491335000,491335000,,-34744000,,,,80695000,2213242000,1721907000,971700000,-36222000,,377047000,377031000,543,IDXX,yearly
2017-12-31,109182000,,381057000,264000,263144000,575172000,1097382000,413028000,413028000,,-37225000,,,,117788000,1969058000,1556030000,871676000,-31971000,,263269000,263144000,543,IDXX,yearly
2020-12-31,,,924000000,,709000000,-49000000,2155000000,1297000000,1297000000,303000000,-395000000,,,,215000000,3777000000,2480000000,1622000000,-373000000,,709000000,709000000,562,AWK,yearly
2019-12-31,,,833000000,,621000000,-16000000,2066000000,1220000000,1220000000,280000000,-382000000,,,,212000000,3610000000,2390000000,1544000000,-387000000,,621000000,621000000,562,AWK,yearly
2018-12-31,,,787000000,,567000000,-20000000,1961000000,1159000000,1159000000,277000000,-350000000,,,,222000000,3440000000,2281000000,1479000000,-372000000,,565000000,567000000,562,AWK,yearly
2017-12-31,,,912000000,,426000000,9000000,1988000000,1228000000,1228000000,259000000,-356000000,,,,486000000,3357000000,2129000000,1369000000,-316000000,,426000000,426000000,562,AWK,yearly
2020-12-31,1530000000,,6017000000,,5595000000,1616000000,9269000000,5925000000,5925000000,,-190000000,,,,422000000,14461000000,8536000000,5192000000,92000000,,5595000000,5568000000,579,TXN,yearly
2019-12-31,1544000000,,5728000000,,5017000000,1650000000,9164000000,5682000000,5682000000,,-170000000,,,,711000000,14383000000,8701000000,5219000000,46000000,,5017000000,4985000000,579,TXN,yearly
2018-12-31,1559000000,,6686000000,,5580000000,1716000000,10277000000,6684000000,6684000000,,-125000000,,,,1106000000,15784000000,9100000000,5507000000,2000000,,5580000000,5537000000,579,TXN,yearly
2017-12-31,1508000000,,6080000000,,3682000000,1754000000,9614000000,6034000000,6034000000,,-78000000,,,,2398000000,14961000000,8927000000,5347000000,46000000,,3682000000,3648000000,579,TXN,yearly
2020-12-31,,,6927000000,259000000,5407000000,,20077000000,7838000000,7838000000,12239000000,-913000000,,,,1509000000,67842000000,60004000000,47765000000,-911000000,,5418000000,5191000000,619,MET,yearly
2019-12-31,,,6795000000,238000000,5899000000,,20484000000,7856000000,7856000000,12628000000,-955000000,,,,886000000,69620000000,61764000000,49136000000,-1061000000,,5909000000,5721000000,619,MET,yearly
2018-12-31,,,6307000000,217000000,5123000000,,20021000000,7490000000,7490000000,12531000000,-1122000000,,,,1179000000,67941000000,60451000000,47920000000,-1183000000,,5128000000,4982000000,619,MET,yearly
2017-12-31,,,3536000000,194000000,4010000000,,17157000000,4838000000,4838000000,12319000000,-1129000000,,,,-1470000000,62308000000,57470000000,45151000000,-1302000000,-986000000.0,5006000000,3907000000,619,MET,yearly
2020-10-02,,,441203000,39955000,491845000,1719484000,2588981000,869497000,869497000,,-62206000,,,,55320000,13566975000,12697478000,10977994000,-428294000,137984000,385883000,491745000,623,J,yearly
2019-09-27,,,350959000,53967000,847979000,1720092000,2481963000,761871000,761871000,,-83847000,,,,36954000,12737868000,11975997000,10255905000,-410912000,557019000,314005000,846769000,623,J,yearly
2018-09-28,,,330981000,90009000,163431000,1523567000,2162437000,638870000,638870000,,-76760000,,,,325632000,10579773000,9940903000,8417336000,-307889000,167616000,5349000,162623000,623,J,yearly
2017-09-29,,,243154000,58999000,293727000,912774000,1260035000,347261000,347261000,,-12035000,,,,73103000,6330126000,5982865000,5070091000,-104107000,123560000,170051000,290650000,623,J,yearly
2020-12-31,,,810000000,,696000000,785000000,1670000000,886000000,886000000,-1000000,-114000000,,,,114000000,9361000000,8475000000,7691000000,-76000000,,696000000,696000000,680,HII,yearly
2019-12-31,,,683000000,,549000000,776000000,1531000000,755000000,755000000,-1000000,-70000000,,,,134000000,8899000000,8144000000,7368000000,-72000000,,549000000,549000000,680,HII,yearly
2018-12-31,,,971000000,,836000000,797000000,1791000000,1008000000,1008000000,-14000000,-58000000,,,,135000000,8176000000,7168000000,6385000000,-37000000,,836000000,836000000,680,HII,yearly
2017-12-31,,,772000000,,479000000,775000000,1628000000,853000000,853000000,-14000000,-94000000,,,,293000000,7441000000,6588000000,5813000000,-81000000,,479000000,479000000,680,HII,yearly
