endDate,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,stockId,ticker
2017-12-31,,,23922000,7122000.0,16491000,87713000,110693000,22980000,22980000,,-15000,,,,7223000,283749000,260769000,173056000,942000,,16699000,16491000,49367,WEYS
2016-12-31,,,22077000,6692000.0,16472000,87378000,112043000,24665000,24665000,,-436000,,,,5084000,296933000,272268000,184890000,-2588000,,16993000,16472000,49367,WEYS
2019-12-31,43123000,,-42562000,,-42590000,82944000,85080000,-40987000,-40987000,,-1612000,,,,28000,112103000,153090000,27023000,-1575000,,-42590000,-49898000,49368,BIGC
2018-12-31,42485000,,-38868000,,-38878000,65425000,69930000,-37980000,-37980000,,-1489000,,,,10000,91867000,129847000,21937000,-888000,,-38878000,-43590000,49368,BIGC
2019-12-31,,,-11481245,,-11481245,7413593,1339402,-6074191,-6074191,,-807205,,,,0,5907899,11982090,4568497,-5407054,,-11481245,-14861534,49370,GNUS
2018-12-31,,,-9003901,,-9003901,5720901,-543270,-6264171,-6264171,,-1019376,,,,0,993452,7257623,1536722,-2739730,,-9003901,-9357234,49370,GNUS
2017-12-31,,,-4908736,,-4908736,5992091,1078301,-4913790,-4913790,,-3227,,,,0,5335728,10249518,4257427,5054,,-4908736,-4908736,49370,GNUS
2016-12-31,,,-6213135,,-6213135,7052519,587658,-6464861,-6464861,,-11178,,,,0,866875,7331736,279217,251726,,-6213135,-6213135,49370,GNUS
2019-12-31,6558000,,-329619000,,-321169000,136462000,-21455000,-207924000,-207924000,,-34690000,,,,-8450000,153843000,361767000,175298000,-121695000,,-321169000,-321169000,49372,TLRY
2018-12-31,4264000,,-72174000,,-67723000,44827000,14275000,-57402000,-57402000,,-9110000,,,,-4451000,41930000,99332000,27655000,-14772000,,-67723000,-67723000,49372,TLRY
2017-12-31,3171000,,-7809000,,-7809000,14663000,11377000,-7498000,-7498000,,-1686000,,,,0,20538000,28036000,9161000,-311000,,-7809000,-7809000,49372,TLRY
2016-12-31,1136000,,-7883000,,-7883000,8489000,2670000,-7049000,-7049000,,-1019000,,,,0,12644000,19693000,9974000,-834000,,-7883000,-7883000,49372,TLRY
2019-12-31,,,37700000,,41400000,103700000,597900000,76500000,76500000,,-82000000,,,,-3700000,981300000,904800000,383400000,-38800000,,41400000,40700000,49373,CONE
2018-12-31,,,1800000,,1200000,98600000,529000000,96300000,96300000,,-94700000,,,,600000,821400000,725100000,292400000,-94500000,,1200000,100000,49373,CONE
2017-12-31,,,-80500000,,-83500000,84000000,436900000,94000000,94000000,,-68100000,,,,3000000,672000000,578000000,235100000,-174500000,,-83500000,-84400000,49373,CONE
2016-12-31,,,21700000,,19900000,77600000,341600000,80100000,80100000,,-48800000,,,,1800000,529100000,449000000,187500000,-58400000,,19900000,19200000,49373,CONE
2020-09-30,,,-130511000,,-122233000,308275000,296790000,-20101000,-20101000,8616000,-71179000,,,,-8278000,899259000,919360000,602469000,-110410000,,-122233000,-122233000,49374,AZEK
2019-09-30,,,-24151000,,-20196000,191272000,258460000,58112000,58112000,9076000,-83205000,,,,-3955000,794203000,736091000,535743000,-82263000,,-20196000,-20196000,49374,AZEK
2018-09-30,,,-16367000,,6745000,144688000,204464000,59776000,59776000,9076000,-68742000,,,,-23112000,681805000,622029000,477341000,-76143000,,6745000,6745000,49374,AZEK
2010-12-31,,,12922000,,9353000,56489000,100865000,44376000,44376000,9076000,-30854000,,,,3569000,327535000,283159000,226670000,-31454000,,9353000,9353000,49374,AZEK
2020-12-31,,,12307000,,10259000,30305000,46440000,0,10662000,5473000,,,,,2048000,46440000,35778000,0,1645000,,10259000,10259000,49375,OVBC
2019-12-31,,,11720000,,9907000,31898000,49962000,0,12556000,5508000,,,,,1813000,49962000,37406000,0,-836000,,9907000,9907000,49375,OVBC
2018-12-31,,,14199000,,11944000,31409000,51625000,0,15019000,5197000,,,,,2255000,51625000,36606000,0,-820000,,11944000,11944000,49375,OVBC
2017-12-31,,,11995000,,7509000,30021000,48604000,0,13115000,5468000,,,,,4486000,48604000,35489000,0,-1120000,,7509000,7509000,49375,OVBC
2019-12-28,,,380434000,77531000,312600000,367152000,774820000,82158000,82158000,,-78674000,,,,59467000,3363905000,3281747000,2589085000,298276000,,320967000,312600000,49377,DAR
2018-12-29,,,117975000,62773000,101496000,311106000,741352000,109054000,109054000,,-86429000,,,,12031000,3387726000,3278672000,2646374000,8921000,,105944000,101496000,49377,DAR
2017-12-30,,,64200000,82764000,128468000,347895000,786571000,136576000,136576000,,-88926000,,,,-69154000,3662251000,3525675000,2875680000,-72376000,,133354000,128468000,49377,DAR
2016-12-31,,,122539000,103228000,102313000,318604000,756595000,148083000,148083000,,-94187000,,,,15315000,3391928000,3243845000,2635333000,-25544000,,107224000,102313000,49377,DAR
2019-12-31,,,207439467,,207439467,12609948,28876573,16266625,16266625,,,,,,0,28876573,12609948,0,191172842,,207439467,207439467,49380,BXMX
2018-12-31,,,-79096808,,-79096808,12877125,28760224,15883099,15883099,,,,,,0,28760224,12877125,0,-94979907,,-79096808,-79096808,49380,BXMX
2017-12-31,,,180788871,,180788871,13248327,29457510,16209183,16209183,,,,,,0,29457510,13248327,0,164579688,,180788871,180788871,49380,BXMX
2016-12-31,,,114590526,,114590526,12680388,30976687,18296299,18296299,,,,,,0,30976687,12680388,0,96294227,,114590526,114590526,49380,BXMX
2020-12-31,273900000,,1657900000,,1298400000,459200000,2301000000,1567900000,1567900000,,,,,,359500000,18728500000,17160600000,16427500000,90000000,,1298400000,1298400000,49382,PCAR
2019-12-31,326600000,,3099200000,,2387900000,502400000,3863000000,3034000000,3034000000,,-9600000.0,,,,711300000,25599700000,22565700000,21736700000,65200000,,2387900000,2387900000,49382,PCAR
2018-12-31,306100000,,2810200000,,2195100000,470200000,3519500000,2743200000,2743200000,,-9600000.0,,,,615100000,23495700000,20752500000,19976200000,67000000,,2195100000,2195100000,49382,PCAR
2017-12-31,264700000,,2173300000,,1675200000,412000000,2820300000,2143600000,2143600000,,-1700000.0,,,,498100000,19456400000,17312800000,16636100000,29700000,,1675200000,1675200000,49382,PCAR
2019-12-31,5692000,,-19450000,,-19450000,16534000,2867000,-19359000,-19359000,,-1480000,,,,0,9131000,28490000,6264000,-91000,,-19450000,-23030000,49383,AVGR
2018-12-31,6009000,,-27558000,,-27558000,18404000,1384000,-23029000,-23029000,,-5692000,,,,0,7915000,30944000,6531000,-4529000,,-27558000,-35692000,49383,AVGR
2017-12-31,11319000,,-48732000,,-48732000,25120000,-3068000,-39507000,-39507000,,-6299000,,,,0,9934000,49441000,13002000,-9225000,,-48732000,-48732000,49383,AVGR
2016-12-31,15536000,,-56128000,,-56128000,39950000,4769000,-50717000,-50717000,,-5524000,,,,0,19214000,69931000,14445000,-5411000,,-56128000,-56128000,49383,AVGR
2019-12-31,,,3962537,,2718274,7135847,18728444,3686477,3686477,5226392,,,,,1244263,59226857,55540380,40498413,276060,,2718274,2718274,49385,CPHC
2018-12-31,,,7708444,,5718444,6991064,20059056,5376019,5376019,5128394,,,,,1990000,59141570,53765551,39082514,2332425,,5718444,5718444,49385,CPHC
2017-12-31,,,4570781,,4090781,7091665,19214719,4382803,4382803,5210814,,,,,480000,56952776,52569973,37738057,187978,,4090781,4090781,49385,CPHC
2016-12-31,,,7119980,,4195980,6459737,16482117,2086678,2086678,5387930,-51059.0,,,,2924000,52460203,50373525,35978086,5033302,,4195980,4195980,49385,CPHC
2019-12-31,,,86719000,690242000,51188000,61063000,393005000,156706000,156706000,-4352000,-79246000,,,,2429000,726991000,570285000,333986000,-69987000,,84290000,49400000,49387,ESRT
2018-12-31,,,121895000,744623000,66539000,52674000,388392000,190857000,190857000,-23647000,-79623000,,,,4642000,707864000,517007000,319472000,-68962000,,117253000,65565000,49387,ESRT
2017-12-31,,,124926000,801451000,63583000,50315000,390377000,192903000,192903000,-13551000,-68473000,,,,6673000,695975000,503072000,305598000,-67977000,,118253000,62611000,49387,ESRT
2016-12-31,,,113396000,820723000,52392000,49078000,380509000,183896000,183896000,-7676000,-70595000,,,,6146000,669677000,485781000,289168000,-70500000,,107250000,51420000,49387,ESRT
2020-03-31,59500000,,10400000,5700000,-2200000,193100000,307500000,54900000,54900000,,-22700000,,,,12400000,1975500000,1920600000,1668000000,-44500000,,-2000000,-2200000,49391,MOD
2019-03-31,69800000,,80800000,7200000,84800000,177200000,365500000,118500000,118500000,,-24800000,,,,-5100000,2212700000,2094200000,1847200000,-37700000,,85900000,84400000,49391,MOD
2018-03-31,65800000,,63300000,8400000,22200000,183300000,356500000,107400000,107400000,,-25600000,,,,39500000,2103100000,1995700000,1746600000,-44100000,,23800000,22000000,49391,MOD
2017-03-31,64400000,,20800000,7200000,14200000,124900000,258700000,69400000,69400000,,-17200000,,,,5900000,1503000000,1433600000,1244300000,-48600000,,14900000,14000000,49391,MOD
2019-12-31,,,27408851,,26438186,20593151,58911889,38318738,38318738,,-14530606,,,,970665,58911889,20593151,0,-10909887,,26438186,26438186,49393,SCM
2018-12-31,,,26805612,,26194578,18015940,53266338,35250398,35250398,,-11902277,,,,611034,53266338,18015940,0,-8444786,,26194578,26194578,49393,SCM
2017-12-31,,,22604664,,22613257,13405497,39648193,26242696,26242696,,-7497370,,,,-8593,39648193,13405497,0,-3638032,,22613257,22613257,49393,SCM
2016-12-31,,,22825931,,23199062,14185811,39490197,25304386,25304386,,-7868214,,,,-373131,39490197,14185811,0,-2478455,,23199062,23199062,49393,SCM
2019-12-31,69099000,,147487000,,113056000,158425000,376095000,148571000,148571000,,-22707000,,,,34431000,392755000,244184000,16660000,-1084000,,113056000,113056000,49394,SUPN
2018-12-31,75209000,,140176000,,110993000,159888000,393541000,158444000,158444000,,-18111000,,,,29183000,408897000,250453000,15356000,-18268000,,110993000,110993000,49394,SUPN
